Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class	HMDB
2-aminoadipate	alpha-Aminoadipic acid	161.0688	C6H11NO4	Organic acids	Amino acids and peptides	Amino acids	HMDB0000510
3-phosphoglycerate	3-Phosphoglyceric acid	185.9929	C3H7O7P	Organic acids	Short-chain acids	Short-chain acids	HMDB0000807
alpha-glycerophosphate	sn-Glycero-3-phosphate	172.0137	C3H9O6P	Organic acids	Organic phosphoric acids	Organic phosphoric acids	HMDB0000126
4-pyridoxate	4-Pyridoxic acid	183.0532	C8H9NO4	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	HMDB0000017
aconitate	trans-Aconitic acid	174.0164	C6H6O6	Organic acids	Carboxylic acids	Tricarboxylic acids	HMDB0000072
adenine	Adenine	135.0545	C5H5N5	Nucleic acids	Purines	Aminopurines	HMDB0000034
adipate	Adipic acid	146.0579	C6H10O4	Fatty Acyls	Fatty acids	Dicarboxylic acids	HMDB0000448
alpha-ketoglutarate	2-Oxoglutaric acid	146.0215	C5H6O5	Organic acids	TCA acids	TCA acids	HMDB0000208
AMP	AMP	347.0631	C10H14N5O7P	Nucleic acids	Purines	Purine rNMP	HMDB0000045
citrate	Citric acid	192.027	C6H8O7	Organic acids	TCA acids	TCA acids	HMDB0000094
isocitrate	Isocitric acid	192.027	C6H8O7	Organic acids	TCA acids	TCA acids	HMDB0000193
CMP	CMP	323.0519	C9H14N3O8P	Nucleic acids	Pyrimidines	Pyrimidine rNMP	HMDB0000095
cystathionine	Cystathionine	222.0674	C7H14N2O4S	Organic acids	Amino acids and peptides	Amino acids	HMDB0000099
cytidine	Cytidine	243.0855	C9H13N3O5	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides	HMDB0000089
dCMP	dCMP	307.0569	C9H14N3O7P	Nucleic acids	Pyrimidines	Pyrimidine dNMP	HMDB0001202
DHAP	Dihydroxyacetone phosphate	169.998	C3H7O6P	Organic acids	Short-chain acids	Short-chain acids	HMDB0001473
erythrose-4-phosphate	Erythrose 4-phosphate	200.0086	C4H9O7P	Carbohydrates	Monosaccharides	Monosaccharide phosphates	HMDB0001321
F1P	Fructose 1-phosphate	260.0297	C6H13O9P	Carbohydrates	Monosaccharides	Monosaccharide phosphates	HMDB0001076
hexoses (HILIC neg)	-						
fumarate	Fumaric acid	116.011	C4H4O4	Organic acids	TCA acids	TCA acids	HMDB0000131
glucuronate	Glucuronic acid	194.0427	C6H10O7	Carbohydrates	Monosaccharides	Sugar acids	HMDB0000127
glutathione oxidized	Glutathione	307.0838	C10H17N3O6S	Organic acids	Amino acids and peptides	Tripeptides	
glutathione reduced	Glutathione	307.0838	C10H17N3O6S	Organic acids	Amino acids and peptides	Tripeptides	HMDB0000125
GMP	GMP	363.058	C10H14N5O8P	Nucleic acids	Purines	Purine rNMP	HMDB0001397
guanosine	Guanosine	283.0917	C10H13N5O5	Nucleic acids	Purines	Purine ribonucleosides	HMDB0000133
hippurate	Hippuric acid	179.0582	C9H9NO3	Polyketides	Phenolic acids	Phenolic acids	HMDB0000714
hypoxanthine	Hypoxanthine	136.0385	C5H4N4O	Nucleic acids	Purines	Hypoxanthines	HMDB0000157
inosine	Inosine	268.0808	C10H12N4O5	Nucleic acids	Purines	Purine ribonucleosides	HMDB0000195
