"","total","expected","hits","Raw p","Holm p","FDR"
"Pyrimidine metabolism",39,1.24,8,1.71e-05,0.00137,0.00137
"Valine, leucine and isoleucine biosynthesis",8,0.255,4,5.79e-05,0.00458,0.00232
"Purine metabolism",70,2.23,8,0.00123,0.0962,0.0329
"Pantothenate and CoA biosynthesis",20,0.637,4,0.00302,0.233,0.0604
"Arginine and proline metabolism",36,1.15,5,0.00476,0.362,0.0762
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.127,2,0.00572,0.429,0.0763
"Phenylalanine metabolism",8,0.255,2,0.0246,1,0.24
"Glycerophospholipid metabolism",36,1.15,4,0.0252,1,0.24
"beta-Alanine metabolism",21,0.669,3,0.027,1,0.24
"Nicotinate and nicotinamide metabolism",15,0.478,2,0.0801,1,0.598
"Glycine, serine and threonine metabolism",33,1.05,3,0.0848,1,0.598
"Glycerolipid metabolism",16,0.509,2,0.0897,1,0.598
"Valine, leucine and isoleucine degradation",39,1.24,3,0.125,1,0.742
"Fructose and mannose metabolism",20,0.637,2,0.131,1,0.742
"Tryptophan metabolism",41,1.31,3,0.139,1,0.742
"Pentose phosphate pathway",23,0.732,2,0.165,1,0.824
"Thiamine metabolism",7,0.223,1,0.203,1,0.914
"Galactose metabolism",27,0.86,2,0.211,1,0.914
"Alanine, aspartate and glutamate metabolism",28,0.891,2,0.223,1,0.914
"Taurine and hypotaurine metabolism",8,0.255,1,0.229,1,0.914
"Biotin metabolism",10,0.318,1,0.277,1,1
"Cysteine and methionine metabolism",33,1.05,2,0.283,1,1
"Arginine biosynthesis",14,0.446,1,0.366,1,1
"Butanoate metabolism",15,0.478,1,0.386,1,1
"Histidine metabolism",16,0.509,1,0.406,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",18,0.573,1,0.443,1,1
"Ether lipid metabolism",20,0.637,1,0.479,1,1
"Glycolysis / Gluconeogenesis",26,0.828,1,0.572,1,1
"Glutathione metabolism",28,0.891,1,0.599,1,1
"Lysine degradation",30,0.955,1,0.625,1,1
"Inositol phosphate metabolism",30,0.955,1,0.625,1,1
"Fatty acid degradation",39,1.24,1,0.721,1,1
"Tyrosine metabolism",42,1.34,1,0.748,1,1
"Primary bile acid biosynthesis",46,1.46,1,0.779,1,1
