"","HMDB","IQR","variable_or_non_variable"
"30","Alanine",0.2368682,"variable"
"59","Glutathione",0.2141911,"variable"
"88","hexoses (HILIC neg)",0.30940585,"variable"
"117","hexoses (HILIC pos)",0.2804094,"variable"
"175","HMDB0000014",0.59239015,"variable"
"233","HMDB0000026",0.2300461,"variable"
"378","HMDB0000045",0.3315118,"variable"
"407","HMDB0000050",0.25196275,"variable"
"523","HMDB0000064",0.208630899999999,"variable"
"610","HMDB0000086",0.2243977,"variable"
"639","HMDB0000089",0.3890335,"variable"
"784","HMDB0000099",0.34771765,"variable"
"813","HMDB0000101",0.279637,"variable"
"842","HMDB0000112",0.353500650000001,"variable"
"929","HMDB0000126",0.3081641,"variable"
"1016","HMDB0000133",0.2511841,"variable"
"1103","HMDB0000157",0.398194699999999,"variable"
"1132","HMDB0000158",0.300000600000001,"variable"
"1161","HMDB0000159",0.3718421,"variable"
"1219","HMDB0000167",0.23931665,"variable"
"1248","HMDB0000168",0.259405149999999,"variable"
"1277","HMDB0000172",0.3564071,"variable"
"1306","HMDB0000177",0.2062651,"variable"
"1335","HMDB0000182",0.387813049999999,"variable"
"1364","HMDB0000186",0.202912749999999,"variable"
"1625","HMDB0000210",0.28734255,"variable"
"1741","HMDB0000222",0.3879416,"variable"
"1770","HMDB0000235",0.2139111,"variable"
"1799","HMDB0000247",0.27588255,"variable"
"1857","HMDB0000251",0.2263981,"variable"
"1944","HMDB0000259",0.201543399999999,"variable"
"2031","HMDB0000267",0.2490933,"variable"
"2089","HMDB0000273",0.330309799999999,"variable"
"2118","HMDB0000288",0.365681800000001,"variable"
"2147","HMDB0000289",0.3334983,"variable"
"2205","HMDB0000296",0.2339875,"variable"
"2263","HMDB0000300",0.3733942,"variable"
"2408","HMDB0000517",0.198026,"variable"
"2611","HMDB0000687",0.34193985,"variable"
"2640","HMDB0000696",0.37564365,"variable"
"2669","HMDB0000699",2.1285626,"variable"
"2698","HMDB0000714",0.25856625,"variable"
"2727","HMDB0000715",0.28293415,"variable"
"2756","HMDB0000725",0.25717625,"variable"
"2872","HMDB0000807",0.279487549999999,"variable"
"2901","HMDB0000824",0.2019544,"variable"
"2930","HMDB0000848",0.28241045,"variable"
"2959","HMDB0000883",0.299595399999999,"variable"
"2988","HMDB0000895",0.5533319,"variable"
"3017","HMDB0000896",0.7289657,"variable"
"3133","HMDB0000929",0.26964905,"variable"
"3162","HMDB0001046",0.242788699999999,"variable"
"3220","HMDB0001123",0.23299235,"variable"
"3278","HMDB0001202",0.2085354,"variable"
"3307","HMDB0001316",0.312598550000001,"variable"
"3365","HMDB0001397",0.2255004,"variable"
"3394","HMDB0001406",0.22205135,"variable"
"3452","HMDB0001473",0.23139805,"variable"
"3481","HMDB0001511",0.450457,"variable"
"3510","HMDB0001548",0.379066900000001,"variable"
"3539","HMDB0002005",0.2097636,"variable"
"3568","HMDB0002013",0.3018155,"variable"
"3597","HMDB0002095",0.2018619,"variable"
"3626","HMDB0002250",0.2159527,"variable"
"3655","HMDB0002329",0.228927199999999,"variable"
"3713","HMDB0005066",0.356432799999999,"variable"
"3771","HMDB0006455",0.2041954,"variable"
"3916","oleylcarnitine",0.310938,"variable"
"1","5-adenosylhomocysteine",0.18039865,"not variable"
"146","HMDB0000008",0.1063432,"not variable"
"204","HMDB0000017",0.174774,"not variable"
"262","HMDB0000033",0.1225185,"not variable"
"291","HMDB0000034",0.133581299999999,"not variable"
"320","HMDB0000036",0.1193783,"not variable"
"349","HMDB0000043",0.07741635,"not variable"
"436","HMDB0000056",0.188657,"not variable"
"465","HMDB0000058",0.146957550000001,"not variable"
"494","HMDB0000062",0.14944415,"not variable"
"552","HMDB0000070",0.1688434,"not variable"
"581","HMDB0000072",0.1734819,"not variable"
"668","HMDB0000092",0.136429649999999,"not variable"
"697","HMDB0000094",0.1795571,"not variable"
"726","HMDB0000095",0.16663665,"not variable"
"755","HMDB0000097",0.13107165,"not variable"
"871","HMDB0000123",0.136991000000001,"not variable"
"900","HMDB0000125",0.16332185,"not variable"
"958","HMDB0000127",0.1573009,"not variable"
"987","HMDB0000131",0.0860984499999997,"not variable"
"1045","HMDB0000148",0.1734583,"not variable"
"1074","HMDB0000156",0.08069185,"not variable"
"1190","HMDB0000162",0.1275262,"not variable"
"1393","HMDB0000187",0.18576505,"not variable"
"1422","HMDB0000190",0.17983385,"not variable"
"1451","HMDB0000191",0.113732600000001,"not variable"
"1480","HMDB0000193",0.1464142,"not variable"
"1509","HMDB0000194",0.1103506,"not variable"
"1538","HMDB0000195",0.1842609,"not variable"
"1567","HMDB0000201",0.1261895,"not variable"
"1596","HMDB0000208",0.121813400000001,"not variable"
"1654","HMDB0000211",0.1583334,"not variable"
"1683","HMDB0000214",0.177878700000001,"not variable"
"1712","HMDB0000217",0.1313533,"not variable"
"1828","HMDB0000248",0.0777966000000001,"not variable"
"1886","HMDB0000254",0.0938138499999992,"not variable"
"1915","HMDB0000258",0.1028297,"not variable"
"1973","HMDB0000262",0.143135699999999,"not variable"
"2002","HMDB0000263",0.1338581,"not variable"
"2060","HMDB0000271",0.102564849999999,"not variable"
"2176","HMDB0000292",0.127704049999999,"not variable"
"2234","HMDB0000299",0.1481269,"not variable"
"2292","HMDB0000302",0.16512225,"not variable"
"2321","HMDB0000448",0.0518286999999997,"not variable"
"2350","HMDB0000462",0.1045729,"not variable"
"2379","HMDB0000510",0.16153,"not variable"
"2437","HMDB0000532",0.1248083,"not variable"
"2466","HMDB0000555",0.0748917000000002,"not variable"
"2495","HMDB0000562",0.16404635,"not variable"
"2524","HMDB0000631",0.1434978,"not variable"
"2553","HMDB0000641",0.14527925,"not variable"
"2582","HMDB0000684",0.144780399999999,"not variable"
"2785","HMDB0000742",0.1528464,"not variable"
"2814","HMDB0000756",0.1057807,"not variable"
"2843","HMDB0000763",0.143061,"not variable"
"3046","HMDB0000902",0.141906,"not variable"
"3075","HMDB0000904",0.1033694,"not variable"
"3104","HMDB0000925",0.1427643,"not variable"
"3191","HMDB0001076",0.195928,"not variable"
"3249","HMDB0001161",0.15976415,"not variable"
"3336","HMDB0001321",0.107298399999999,"not variable"
"3423","HMDB0001414",0.1508564,"not variable"
"3684","HMDB0003334",0.0885153000000001,"not variable"
"3742","HMDB0006112",0.0796733000000005,"not variable"
"3800","HMDB0013128",0.1541331,"not variable"
