Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epigenetic Regulation Of Gene Expression (GO:0040029)	6/83	4.931495099216953E-6	0.004458071569692126	0	0	15.59858323494687	190.61263358262389	RBM14;SMARCB1;RNF8;ASH2L;RNF2;EZH2
Chromatin Organization (GO:0006325)	9/268	1.192580688377155E-5	0.005390464711464741	0	0	7.107625482625482	80.57777022402986	FOXA1;TAF6L;SMARCB1;HDAC1;SUDS3;ESR1;RNF2;FAM50B;EZH2
Histone H2A Ubiquitination (GO:0033522)	3/11	2.250029279576992E-5	0.006150922331477961	0	0	73.11397058823529	782.4644144162921	RNF8;BRCA1;RNF2
Chromatin Remodeling (GO:0006338)	8/228	2.7216470493265314E-5	0.006150922331477961	0	0	7.375820056232428	77.53232090918557	FOXA1;TAF6L;SMARCB1;HDAC1;RNF8;SUDS3;ESR1;RNF2
DNA Damage Response (GO:0006974)	10/384	3.4571646062721636E-5	0.006250553608140072	0	0	5.494230227976358	56.43935194534887	WDHD1;STK11;WRN;XRCC2;XRCC3;RNF8;RBBP8;ASH2L;BRCA1;MCL1
Regulation Of Mitotic Spindle Organization (GO:0060236)	4/39	5.121300918954943E-5	0.00771609338455878	0	0	22.472418670438472	222.016641666818	TPX2;PDCD6IP;NUMA1;SASS6
DNA Recombination (GO:0006310)	4/42	6.885512335861212E-5	0.00889214735945505	0	0	20.695153725898905	198.33212829332106	XRCC2;XRCC3;RBBP8;BRCA1
Regulation Of Centriole Replication (GO:0046599)	3/19	1.2815968339425048E-4	0.012343832567618248	0	0	36.5422794117647	327.5004423564044	RBM14;SASS6;BRCA1
Recombinational Repair (GO:0000725)	5/95	1.4433030021428762E-4	0.012343832567618248	0	0	11.002777777777778	97.30203248589306	WRN;XRCC2;XRCC3;RBBP8;BRCA1
DNA Repair (GO:0006281)	8/291	1.5013657248755952E-4	0.012343832567618248	0	0	5.7154930603621	50.31900197486937	WDHD1;WRN;XRCC2;XRCC3;RNF8;RBBP8;APEX2;BRCA1
Regulation Of Spindle Organization (GO:0090224)	3/20	1.5020150248208045E-4	0.012343832567618248	0	0	34.391003460207614	302.7623275190411	TPX2;NUMA1;SASS6
Mitochondrial Translation (GO:0032543)	5/98	1.6707613935131252E-4	0.012586402497798877	0	0	10.646236559139785	92.59096797882437	MRPS11;MRPS2;MRPL48;MRPL43;DAP3
Mitochondrial Gene Expression (GO:0140053)	5/103	2.109556347867635E-4	0.013790157793080123	0	0	10.100510204081633	85.48933165083118	MRPS11;MRPS2;MRPL48;MRPL43;DAP3
Regulation Of Stem Cell Population Maintenance (GO:2000036)	4/56	2.1356439060079839E-4	0.013790157793080123	0	0	15.112718964204113	127.72623509320896	TAF6L;SMARCB1;HDAC1;SUDS3
Double-Strand Break Repair (GO:0006302)	6/168	2.602545229846455E-4	0.01568467258520797	0	0	7.382341937897493	60.932746482943244	WRN;XRCC2;XRCC3;RNF8;RBBP8;BRCA1
Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	5/111	2.9878607689589085E-4	0.016881413344617832	0	0	9.334433962264152	75.75623768880753	WRN;XRCC2;XRCC3;RBBP8;BRCA1
DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)	2/6	4.039161029563086E-4	0.02028556428180572	0	0	96.55825242718447	754.5354771034407	RBBP8;BRCA1
Positive Regulation Of Spindle Assembly (GO:1905832)	2/6	4.039161029563086E-4	0.02028556428180572	0	0	96.55825242718447	754.5354771034407	NUMA1;SASS6
Regulation Of Spindle Assembly (GO:0090169)	3/29	4.6518871946573813E-4	0.02213318959984354	0	0	22.476244343891402	172.46173744381784	PDCD6IP;NUMA1;SASS6
Terpenoid Metabolic Process (GO:0006721)	2/7	5.635452540066437E-4	0.02425928141057171	0	0	77.24271844660194	577.8730852705885	CYP2C9;FDFT1
Regulation Of Alpha-Beta T Cell Differentiation (GO:0046637)	2/7	5.635452540066437E-4	0.02425928141057171	0	0	77.24271844660194	577.8730852705885	NKAP;PRDM1
Response To Estrogen (GO:0043627)	3/34	7.474495153654259E-4	0.029378015734362824	0	0	18.84629981024668	135.67156840912372	ASH2L;BRCA1;ESR1
Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815)	3/34	7.474495153654259E-4	0.029378015734362824	0	0	18.84629981024668	135.67156840912372	RBM14;SMARCB1;ASH2L
DNA Metabolic Process (GO:0006259)	7/288	8.16473322948151E-4	0.030753828497713687	0	0	4.98576512455516	35.451364278522824	WDHD1;WRN;SMARCB1;XRCC2;XRCC3;RBBP8;BRCA1
Telomeric Loop Disassembly (GO:0090657)	2/9	9.594723189062522E-4	0.03212455467745377	0	0	55.16782246879334	383.3682097483215	WRN;XRCC3
Homologous Recombination (GO:0035825)	2/9	9.594723189062522E-4	0.03212455467745377	0	0	55.16782246879334	383.3682097483215	RBBP8;BRCA1
Mitochondrial Ribosome Assembly (GO:0061668)	2/9	9.594723189062522E-4	0.03212455467745377	0	0	55.16782246879334	383.3682097483215	NGRN;MRPS2
Maturation Of SSU-rRNA (GO:0030490)	3/38	0.001037808171465237	0.03350637810730622	0	0	16.689075630252102	114.66470263876877	UTP3;MRPS11;SRFBP1
T-Circle Formation (GO:0090656)	2/10	0.0011952352797267602	0.03407636228734787	0	0	48.269417475728154	324.82480811164004	WRN;XRCC3
Formation Of Extrachromosomal Circular DNA (GO:0001325)	2/10	0.0011952352797267602	0.03407636228734787	0	0	48.269417475728154	324.82480811164004	WRN;XRCC3
Telomere Maintenance Via Telomere Trimming (GO:0090737)	2/10	0.0011952352797267602	0.03407636228734787	0	0	48.269417475728154	324.82480811164004	WRN;XRCC3
Positive Regulation Of Stem Cell Population Maintenance (GO:1902459)	3/40	0.0012062429128264732	0.03407636228734787	0	0	15.78537360890302	106.08157460671458	SMARCB1;HDAC1;SUDS3
