Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Membrane-Bounded Organelle (GO:0043231)	53/5175	5.6709004926203313E-8	5.841027507398941E-6	0	0	2.939690775838765	49.04971898799284	FOXA1;SMARCB1;NUMA1;NKAP;ASH2L;PRDM1;BRCA1;NGRN;STK11;OSBP;RBM14;MEF2C;PLA2G4A;VPS37A;TAF6L;SRFBP1;HNRNPH3;FAM72D;PTMA;DTYMK;BIRC8;HDAC1;RNF8;RNF2;WRN;DPH3;RBBP8;GPBP1L1;CYC1;SUDS3;HNRNPA1;SPDEF;MCL1;WDR59;NFYA;UTP3;XRCC2;SWT1;XRCC3;APEX2;ESR1;MANF;RNF146;CYP2C9;SQLE;TPX2;EIF5;ZNF37A;ACIN1;BUD13;CENPQ;FAM50B;EZH2
Nucleus (GO:0005634)	47/4487	3.108687251337272E-7	1.600973934438695E-5	0	0	2.820693538365952	42.26497614329091	FOXA1;DTYMK;SMARCB1;BIRC8;NUMA1;HDAC1;RNF8;NKAP;ASH2L;PRDM1;BRCA1;RNF2;NGRN;STK11;WRN;DPH3;RBBP8;GPBP1L1;CYC1;SUDS3;HNRNPA1;SPDEF;MCL1;RBM14;MEF2C;NFYA;UTP3;SWT1;XRCC3;PLA2G4A;APEX2;ESR1;MANF;RNF146;TPX2;TAF6L;EIF5;ZNF37A;ACIN1;BUD13;SRFBP1;NUP98;HNRNPH3;PTMA;CENPQ;FAM50B;EZH2
Mitochondrial Membrane (GO:0031966)	14/540	8.919428068953695E-7	3.062336970340769E-5	0	0	5.665106756361509	78.9141656659677	DNAJC19;NDUFA4;MRPS11;PLA2G4A;MRPS2;GHITM;MRPL48;KMO;COX7C;MRPL43;NGRN;CYC1;DAP3;MCL1
Mitochondrial Inner Membrane (GO:0005743)	11/370	3.94628528679204E-6	1.0161684613489503E-4	0	0	6.368043619984591	79.23588467824204	DNAJC19;NDUFA4;MRPS11;PLA2G4A;MRPS2;GHITM;CYC1;MRPL48;COX7C;MRPL43;DAP3
Organelle Inner Membrane (GO:0019866)	11/398	7.88051128078429E-6	1.623385323841564E-4	0	0	5.898839958216504	69.31796307220196	DNAJC19;NDUFA4;MRPS11;PLA2G4A;MRPS2;GHITM;CYC1;MRPL48;COX7C;MRPL43;DAP3
Mitochondrial Respiratory Chain Complex IV (GO:0005751)	2/17	0.00352672379591105	0.06054209182980636	0	0	25.734627831715212	145.33337544284453	NDUFA4;COX7C
Respiratory Chain Complex IV (GO:0045277)	2/19	0.004404127838497018	0.06065467308632975	0	0	22.70474014848658	123.17805215827335	NDUFA4;COX7C
Sin3 Complex (GO:0016580)	2/21	0.005371761068252887	0.06065467308632975	0	0	20.312723556463975	106.16647034820306	HDAC1;SUDS3
Sin3-type Complex (GO:0070822)	2/21	0.005371761068252887	0.06065467308632975	0	0	20.312723556463975	106.16647034820306	HDAC1;SUDS3
Mitochondrial Ribosome (GO:0005761)	2/22	0.005888803212265024	0.06065467308632975	0	0	19.296116504854368	99.07981749824071	MRPL48;MRPL43
Mitotic Spindle (GO:0072686)	4/143	0.006859528767941255	0.06423013300890448	0	0	5.628890946648622	28.043790643945467	TUBB8;TPX2;NGRN;NUMA1
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	13/1195	0.009738412050198398	0.08358803676420291	0	0	2.237079746928566	10.361431277400557	SMARCB1;NUMA1;UTP3;PRDM1;BRCA1;WDR55;TPX2;EBNA1BP2;WRN;OSBP;SASS6;SKP2;HNRNPA1
Spindle (GO:0005819)	4/210	0.024821266604919807	0.16723476450215374	0	0	3.785254253580698	13.990505899806294	TUBB8;TPX2;NGRN;NUMA1
Chromocenter (GO:0010369)	1/5	0.025978215844994757	0.16723476450215374	0	0	47.81490384615385	174.54816038097263	TINF2
Shelterin Complex (GO:0070187)	1/5	0.025978215844994757	0.16723476450215374	0	0	47.81490384615385	174.54816038097263	TINF2
Transcription Factor TFIIIC Complex (GO:0000127)	1/5	0.025978215844994757	0.16723476450215374	0	0	47.81490384615385	174.54816038097263	GTF3C2
Astral Microtubule (GO:0000235)	1/6	0.031093091576432783	0.16855728591434616	0	0	38.25	132.75693797566336	NUMA1
Proton-Transporting V-type ATPase, V0 Domain (GO:0033179)	1/6	0.031093091576432783	0.16855728591434616	0	0	38.25	132.75693797566336	ATP6V0C
Vacuolar Proton-Transporting V-type ATPase, V0 Domain (GO:0000220)	1/6	0.031093091576432783	0.16855728591434616	0	0	38.25	132.75693797566336	ATP6V0C
ESC/E(Z) Complex (GO:0035098)	1/7	0.03618136368378441	0.18633402297148974	0	0	31.873397435897434	105.79453482142874	EZH2
Mitochondrial Matrix (GO:0005759)	5/355	0.039275867230843045	0.19263877737032542	0	0	2.7921428571428573	9.038571328641616	DNAJC19;FPGS;IBA57;MRPL48;MRPL43
bBAF Complex (GO:0140092)	1/9	0.04627864319748114	0.19985956836154717	0	0	23.90264423076923	73.4546111134009	SMARCB1
Sodium:Potassium-Exchanging ATPase Complex (GO:0005890)	1/9	0.04627864319748114	0.19985956836154717	0	0	23.90264423076923	73.4546111134009	ATP1B3
Nucleolus (GO:0005730)	8/771	0.05000097454236512	0.19985956836154717	0	0	2.0680169164043183	6.195184711718893	EBNA1BP2;WRN;SMARCB1;UTP3;OSBP;PRDM1;SKP2;WDR55
Nuclear Inclusion Body (GO:0042405)	1/10	0.051287922166042506	0.19985956836154717	0	0	21.245726495726494	63.10618119534448	NUP98
Nuclear Lumen (GO:0031981)	8/780	0.05284590910080024	0.19985956836154717	0	0	2.0429464238021473	6.007028540860372	EBNA1BP2;WRN;SMARCB1;UTP3;OSBP;PRDM1;SKP2;WDR55
Chromosome (GO:0005694)	3/164	0.05538248176515624	0.19985956836154717	0	0	3.6050420168067228	10.43116005093338	EBNA1BP2;WRN;BRCA1
Mitochondrial Respiratory Chain Complex III (GO:0005750)	1/11	0.0562711406066492	0.19985956836154717	0	0	19.120192307692307	55.01975823103713	CYC1
Respiratory Chain Complex III (GO:0045275)	1/11	0.0562711406066492	0.19985956836154717	0	0	19.120192307692307	55.01975823103713	CYC1
90S Preribosome (GO:0030686)	1/12	0.06122843268090386	0.20343640535913218	0	0	17.38111888111888	48.54796115589542	SRFBP1
npBAF Complex (GO:0071564)	1/12	0.06122843268090386	0.20343640535913218	0	0	17.38111888111888	48.54796115589542	SMARCB1
Brahma Complex (GO:0035060)	1/13	0.06615993190395807	0.21141747292809704	0	0	15.931891025641026	43.26592192345684	SMARCB1
nBAF Complex (GO:0071565)	1/14	0.07106577111244515	0.21141747292809704	0	0	14.705621301775148	38.883860874713555	SMARCB1
RSC-type Complex (GO:0016586)	1/14	0.07106577111244515	0.21141747292809704	0	0	14.705621301775148	38.883860874713555	SMARCB1
PRC1 Complex (GO:0035102)	1/15	0.07594608250815137	0.21141747292809704	0	0	13.654532967032967	35.1977215377034	RNF2
TIM23 Mitochondrial Import Inner Membrane Translocase Complex (GO:0005744)	1/15	0.07594608250815137	0.21141747292809704	0	0	13.654532967032967	35.1977215377034	DNAJC19
Cation-Transporting ATPase Complex (GO:0090533)	1/15	0.07594608250815137	0.21141747292809704	0	0	13.654532967032967	35.1977215377034	ATP1B3
Protein Kinase Complex (GO:1902911)	1/17	0.0856306472143875	0.2321041227126819	0	0	11.946514423076923	29.361092234542827	STK11
Preribosome, Large Subunit Precursor (GO:0030687)	1/18	0.09043516157909659	0.238841580580691	0	0	11.243212669683258	27.0188131977752	EBNA1BP2
