Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554	5/27	2.667869140623185E-7	1.3232630937490996E-4	0	0	45.16590909090909	683.6680360440457	WRN;XRCC2;XRCC3;RBBP8;BRCA1
Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568	5/33	7.649580210687108E-7	1.4766243476130195E-4	0	0	35.47678571428571	499.63535609285225	WRN;XRCC2;XRCC3;RBBP8;BRCA1
Resolution Of D-Loop Structures R-HSA-5693537	5/34	8.931195650885198E-7	1.4766243476130195E-4	0	0	34.251724137931035	477.07669377769804	WRN;XRCC2;XRCC3;RBBP8;BRCA1
Regulation Of TP53 Activity R-HSA-5633007	8/157	1.7647542674470185E-6	2.188295291634303E-4	0	0	10.929772365598838	144.79214960395544	TPX2;STK11;WRN;HDAC1;MAPKAP1;RBBP8;PRDM1;BRCA1
Homologous DNA Pairing And Strand Exchange R-HSA-5693579	5/43	2.976013615346668E-6	2.952205506423895E-4	0	0	26.12763157894737	332.4721748950799	WRN;XRCC2;XRCC3;RBBP8;BRCA1
Gene Expression (Transcription) R-HSA-74160	22/1449	5.070603570261579E-6	4.191698951416239E-4	0	0	3.4303661738756004	41.82319831165491	GTF3C2;MEF2C;SMARCB1;NFYA;HDAC1;MAPKAP1;ASH2L;PRDM1;BRCA1;ESR1;COX7C;RNF2;TPX2;STK11;WRN;ZNF37A;RBBP8;NUP98;SUDS3;SKP2;ZNF225;EZH2
Impaired BRCA2 Binding To PALB2 R-HSA-9709603	4/24	7.028851085092259E-6	4.980443054579658E-4	0	0	39.35643564356435	466.983287136033	WRN;XRCC2;RBBP8;BRCA1
Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192	4/25	8.333970666735847E-6	5.167061813376225E-4	0	0	37.48043375766148	438.34006488444476	WRN;XRCC2;RBBP8;BRCA1
Generic Transcription Pathway R-HSA-212436	19/1190	1.240435949169521E-5	6.836180342089805E-4	0	0	3.532619704883522	39.90963890843917	MEF2C;SMARCB1;NFYA;HDAC1;MAPKAP1;ASH2L;PRDM1;BRCA1;ESR1;COX7C;RNF2;TPX2;STK11;WRN;ZNF37A;RBBP8;SKP2;ZNF225;EZH2
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	5/67	2.7021724639749597E-5	0.0012631095625652191	0	0	15.994354838709677	168.24252967289885	WRN;XRCC2;XRCC3;RBBP8;BRCA1
Transcriptional Regulation By E2F6 R-HSA-8953750	4/34	2.9463591593897458E-5	0.0012631095625652191	0	0	26.224422442244226	273.58249088414163	RBBP8;BRCA1;RNF2;EZH2
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567	6/114	3.0559102320126266E-5	0.0012631095625652191	0	0	11.103815937149271	115.4335823521317	WRN;XRCC2;XRCC3;RNF8;RBBP8;BRCA1
Homology Directed Repair R-HSA-5693538	6/119	3.893040213637596E-5	0.0014853445738186519	0	0	10.609814963797264	107.72925024874162	WRN;XRCC2;XRCC3;RNF8;RBBP8;BRCA1
RNA Polymerase II Transcription R-HSA-73857	19/1312	4.768129332301738E-5	0.0016892801063011873	0	0	3.1784564470584002	31.628729234234967	MEF2C;SMARCB1;NFYA;HDAC1;MAPKAP1;ASH2L;PRDM1;BRCA1;ESR1;COX7C;RNF2;TPX2;STK11;WRN;ZNF37A;RBBP8;SKP2;ZNF225;EZH2
Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616	4/40	5.667451085379945E-5	0.0017789845228272118	0	0	21.84708470847085	213.624857669627	WRN;XRCC2;RBBP8;BRCA1
Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190	4/41	6.254896517424273E-5	0.0017789845228272118	0	0	21.255552582285254	205.74441494294823	WRN;XRCC2;RBBP8;BRCA1
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168	4/42	6.885512335861212E-5	0.0017789845228272118	0	0	20.695153725898905	198.33212829332106	SQLE;NFYA;ACACA;FDFT1
Mitochondrial Translation Elongation R-HSA-5389840	5/82	7.173324688819402E-5	0.0017789845228272118	0	0	12.86883116883117	122.80154495847334	MRPS35;MRPS11;MRPS2;MRPL48;MRPL43
Mitochondrial Translation Initiation R-HSA-5368286	5/82	7.173324688819402E-5	0.0017789845228272118	0	0	12.86883116883117	122.80154495847334	MRPS35;MRPS11;MRPS2;MRPL48;MRPL43
Mitochondrial Translation Termination R-HSA-5419276	5/82	7.173324688819402E-5	0.0017789845228272118	0	0	12.86883116883117	122.80154495847334	MRPS35;MRPS11;MRPS2;MRPL48;MRPL43
Mitochondrial Translation R-HSA-5368287	5/88	1.0046108488645107E-4	0.002345586025284122	0	0	11.934939759036144	109.86995377565812	MRPS35;MRPS11;MRPS2;MRPL48;MRPL43
Transcriptional Regulation By TP53 R-HSA-3700989	9/354	1.0403808983115056E-4	0.002345586025284122	0	0	5.3125	48.71962784921354	TPX2;STK11;WRN;HDAC1;MAPKAP1;RBBP8;PRDM1;BRCA1;COX7C
Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756	5/90	1.1177118347333395E-4	0.0024103698696858102	0	0	11.652941176470588	106.03077343213512	TPX2;STK11;WRN;RBBP8;BRCA1
DNA Double-Strand Break Repair R-HSA-5693532	6/149	1.3564787244184885E-4	0.0028033893637982098	0	0	8.371265098537826	74.54986772991579	WRN;XRCC2;XRCC3;RNF8;RBBP8;BRCA1
Diseases Of DNA Repair R-HSA-9675135	4/51	1.4825867421884497E-4	0.002941452096501884	0	0	16.724668211502003	147.4539071542129	WRN;XRCC2;RBBP8;BRCA1
Cell Cycle R-HSA-1640170	12/654	1.6435608049876076E-4	0.003135408304899436	0	0	3.869560848155964	33.71732272244023	TUBB8;TPX2;WRN;NUMA1;HDAC1;TINF2;RNF8;RBBP8;NUP98;BRCA1;SKP2;CENPQ
Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829	4/55	1.991088275947648E-4	0.0036577029069260495	0	0	15.409823335274703	131.3172598734764	SQLE;NFYA;ACACA;FDFT1
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	6/168	2.602545229846455E-4	0.004610222978585149	0	0	7.382341937897493	60.932746482943244	WRN;HDAC1;NUP98;BRCA1;ESR1;RNF2
SUMOylation R-HSA-2990846	6/174	3.1420890799391303E-4	0.005374055805688995	0	0	7.116522366522367	57.39797297855083	WRN;HDAC1;NUP98;BRCA1;ESR1;RNF2
SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214	4/76	6.884314803570173E-4	0.011382067141902687	0	0	10.903740374037405	79.3911669555231	WRN;BRCA1;NUP98;RNF2
G2/M DNA Damage Checkpoint R-HSA-69473	4/77	7.232480340246818E-4	0.01157196854439491	0	0	10.753831547538315	77.76911089873954	WRN;RNF8;RBBP8;BRCA1
Impaired BRCA2 Binding To RAD51 R-HSA-9709570	3/35	8.144172103346572E-4	0.012552713043504131	0	0	18.256433823529413	129.85870351225262	WRN;RBBP8;BRCA1
Processing Of DNA Double-Strand Break Ends R-HSA-5693607	4/80	8.351603436202344E-4	0.012552713043504131	0	0	10.327774882751433	73.20209950505757	WRN;RNF8;RBBP8;BRCA1
HDR Thru Single Strand Annealing (SSA) R-HSA-5685938	3/37	9.59518664437778E-4	0.013997684045915821	0	0	17.180795847750865	119.39070402868522	WRN;RBBP8;BRCA1
STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898	2/10	0.0011952352797267602	0.01693819139269923	0	0	48.269417475728154	324.82480811164004	HDAC1;PRDM1
DNA Repair R-HSA-73894	7/310	0.0012512648561382054	0.01718400884760589	0	0	4.618576143328618	30.868717148225826	WRN;XRCC2;XRCC3;TINF2;RNF8;RBBP8;BRCA1
Metabolism Of Steroids R-HSA-8957322	5/153	0.001281871627744794	0.01718400884760589	0	0	6.6712837837837835	44.42697445273392	SQLE;NFYA;OSBP;ACACA;FDFT1
Chromatin Modifying Enzymes R-HSA-3247509	6/238	0.0016095838509486149	0.021009305001855605	0	0	5.13662486938349	33.03763910460835	TAF6L;SMARCB1;HDAC1;ASH2L;SUDS3;EZH2
PIP3 Activates AKT Signaling R-HSA-1257604	6/268	0.0029142922260454807	0.037063819079963034	0	0	4.541522091140412	26.51398861249232	RNF146;HDAC1;MAPKAP1;ESR1;RNF2;EZH2
Cell Cycle Checkpoints R-HSA-69620	6/271	0.0030786164439645367	0.037774335614474346	0	0	4.489422527158376	25.96356501827685	WRN;RNF8;RBBP8;NUP98;BRCA1;CENPQ
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657	2/16	0.0031224753229706615	0.037774335614474346	0	0	27.574202496532592	159.07913731247376	STK11;NFYA
SUMOylation Of Chromatin Organization Proteins R-HSA-4551638	3/57	0.003349188088395357	0.039552316472478505	0	0	10.806644880174291	61.58747252140735	HDAC1;NUP98;RNF2
Removal Of Flap Intermediate From C-strand R-HSA-174437	2/17	0.00352672379591105	0.040680348901671645	0	0	25.734627831715212	145.33337544284453	WRN;TINF2
Translation R-HSA-72766	6/281	0.0036767350659212892	0.04144683165220363	0	0	4.32396694214876	24.238991772847214	EIF5;MRPS35;MRPS11;MRPS2;MRPL48;MRPL43
Regulation Of PTEN Gene Transcription R-HSA-8943724	3/61	0.004057623432996241	0.04472402717258079	0	0	10.059330628803245	55.39832151835563	HDAC1;RNF2;EZH2
Metabolism Of Proteins R-HSA-392499	19/1890	0.004215598008240384	0.04545514374102675	0	0	2.1282985096888867	11.639587550581624	MRPS35;HDAC1;MRPS11;MRPS2;BRCA1;MRPL48;ESR1;RNF2;MRPL43;TUBB8;RNF146;WRN;EIF5;GNG5;ADAMTSL4;DPH3;NUP98;SUDS3;SKP2
Processive Synthesis On C-strand Of Telomere R-HSA-174414	2/19	0.004404127838497018	0.04601609116888129	0	0	22.70474014848658	123.17805215827335	WRN;TINF2
Transcriptional Regulation By RUNX1 R-HSA-8878171	5/204	0.004453170113117544	0.04601609116888129	0	0	4.948743718592965	26.79318662249898	SMARCB1;HDAC1;ASH2L;ESR1;RNF2
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	8/496	0.004622044444229001	0.046312537214928805	0	0	3.2798715565320262	17.6356009064985	MEF2C;HDAC1;MAPKAP1;PRDM1;GRAP;HNRNPA1;ATP6V0C;ESR1
