Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Replication Checkpoint Signaling (GO:0000076)	3/17	5.1729237536724914E-5	0.03833136501471316	0	0	50.76275510204081	501.00237254623914	ORC1;TIMELESS;RAD9B
Regulation Of Cytokinesis (GO:0032465)	4/80	4.1061237517014943E-4	0.1028296722436002	0	0	12.578947368421053	98.08888203099576	PKN2;CALM2;CDC25B;BCL2L1
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)	3/35	4.70515195928311E-4	0.1028296722436002	0	0	22.188616071428573	170.00212706160107	DOCK5;ARHGEF7;LIMS1
Regulation Of Phosphoprotein Phosphatase Activity (GO:0043666)	3/37	5.550859500329296E-4	0.1028296722436002	0	0	20.881302521008404	156.53433710833423	PPP1R2;PPP1R11;CALM2
Regulation Of Protein Dephosphorylation (GO:0035304)	3/40	6.992149905638132E-4	0.10362366160155712	0	0	19.185328185328185	139.39200521302726	PPP1R2;PPP1R8;CALM2
Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	3/51	0.0014238923515813439	0.17585070542029596	0	0	14.780505952380953	96.87677273010557	DOCK5;ARHGEF7;LIMS1
Alternative mRNA Splicing, Via Spliceosome (GO:0000380)	2/16	0.002157422291538445	0.18823849620759375	0	0	33.443697478991595	205.30554640864443	HNRNPM;DDX5
Regulation Of miRNA Transcription (GO:1902893)	3/59	0.0021678683781213544	0.18823849620759375	0	0	12.66390306122449	77.68051952105846	FOSL1;DDX5;EGFR
Hippo Signaling (GO:0035329)	2/17	0.0024381828317910324	0.18823849620759375	0	0	31.21254901960784	187.79037166076333	TEAD4;WWTR1
Positive Regulation Of Cell Cycle (GO:0045787)	3/65	0.0028587428297700774	0.18823849620759375	0	0	11.434907834101383	66.978524073273	PKN2;EGFR;CDC25B
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)	2/19	0.0030483966997181173	0.18823849620759375	0	0	27.537716262975778	159.52983178980497	ACTR3;ARPC3
Negative Regulation Of Protein Dephosphorylation (GO:0035308)	2/19	0.0030483966997181173	0.18823849620759375	0	0	27.537716262975778	159.52983178980497	PPP1R11;PPP1R8
Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)	3/71	0.0036712905781843795	0.19709709694190114	0	0	10.422794117647058	58.44281648504621	DOCK5;ARHGEF7;LIMS1
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240)	2/22	0.0040833087396631345	0.19709709694190114	0	0	23.403529411764705	128.7392498510691	BCL2L1;PF4
Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)	2/22	0.0040833087396631345	0.19709709694190114	0	0	23.403529411764705	128.7392498510691	BCL2L1;PF4
