Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nucleus (GO:0005634)	33/4487	7.722356937475323E-4	0.05050364446712826	0	0	2.1210522376889687	15.199928561279101	DDX5;PPP1R11;INTS10;RNF4;EGFR;UBE2L3;NUDT4;PRIMPOL;PSMD8;PPP2CA;EIF1AD;ZMYM2;ORC1;PPP1R8;SKP1;ACTR3;TEAD4;KLF10;WWTR1;TIPARP;CDC25B;FOSL1;HNRNPM;PTP4A2;ZFP69;NSMCE4A;ARPC3;TIMELESS;PSMG1;PKN2;RAD9B;MPHOSPH8;CALM2
Intracellular Membrane-Bounded Organelle (GO:0043231)	36/5175	0.001134913358811871	0.05050364446712826	0	0	2.029325916005632	13.761262804940323	DDX5;PPP1R11;INTS10;RNF4;PMF1;EGFR;UBE2L3;NUDT4;PRIMPOL;PSMD8;PPP2CA;EIF1AD;ZMYM2;ORC1;PPP1R8;SKP1;ACTR3;TEAD4;KLF10;WWTR1;TIPARP;DDOST;CDC25B;FOSL1;HNRNPM;PTP4A2;ZFP69;SEC23IP;NSMCE4A;ARPC3;TIMELESS;PSMG1;PKN2;RAD9B;MPHOSPH8;CALM2
Multivesicular Body, Internal Vesicle (GO:0097487)	1/5	0.021563576738673543	0.2669083591685202	0	0	57.875	222.05188597816456	EGFR
Low-Density Lipoprotein Particle (GO:0034362)	1/6	0.025820823345976573	0.2669083591685202	0	0	46.29767441860465	169.29087282457172	PLA2G7
Focal Adhesion (GO:0005925)	5/387	0.02686989207831092	0.2669083591685202	0	0	3.117577576299323	11.275495184949639	ACTR3;ARPC3;ARHGEF7;EGFR;LIMS1
Mitochondrial Outer Membrane (GO:0005741)	3/151	0.028208465593998054	0.2669083591685202	0	0	4.769546332046332	17.018376366960183	ACSL3;GPAT2;BCL2L1
Cell-Substrate Junction (GO:0030055)	5/395	0.028998021057259016	0.2669083591685202	0	0	3.0523764853033146	10.807023468746259	ACTR3;ARPC3;ARHGEF7;EGFR;LIMS1
Smc5-Smc6 Complex (GO:0030915)	1/8	0.03428046381322864	0.2669083591685202	0	0	33.06644518272425	111.53906016025832	NSMCE4A
Spindle Microtubule (GO:0005876)	2/68	0.035403772892216856	0.2669083591685202	0	0	7.075579322638146	23.639063946311328	CHMP3;CALM2
Membrane Raft (GO:0045121)	3/169	0.03750488611976821	0.2669083591685202	0	0	4.248493975903615	13.949012541450942	PPP2CA;EGFR;PAG1
Organelle Outer Membrane (GO:0031968)	3/170	0.038062068594538194	0.2669083591685202	0	0	4.222840034217279	13.802509182848505	ACSL3;GPAT2;BCL2L1
Amphisome Membrane (GO:1904930)	1/9	0.03848301248126426	0.2669083591685202	0	0	28.93168604651163	94.2460773854509	CHMP3
Preribosome, Small Subunit Precursor (GO:0030688)	1/10	0.04266748288266354	0.2669083591685202	0	0	25.71576227390181	81.11569629500502	NOC4L
Intracellular Vesicle (GO:0097708)	1/11	0.04683395176457438	0.2669083591685202	0	0	23.143023255813954	70.84419329504821	EGFR
Amphisome (GO:0044753)	1/11	0.04683395176457438	0.2669083591685202	0	0	23.143023255813954	70.84419329504821	CHMP3
90S Preribosome (GO:0030686)	1/12	0.05098249557151509	0.2669083591685202	0	0	21.038054968287526	62.61499348641103	NOC4L
SUMO Ligase Complex (GO:0106068)	1/12	0.05098249557151509	0.2669083591685202	0	0	21.038054968287526	62.61499348641103	NSMCE4A
Protein Phosphatase Type 2A Complex (GO:0000159)	1/16	0.06739893835797374	0.3332503063255368	0	0	15.424806201550387	41.60264604479508	PPP2CA
High-Density Lipoprotein Particle (GO:0034364)	1/18	0.07550157451990408	0.3359820066135732	0	0	13.60875512995896	35.15960381916263	PLA2G7
Kinetochore Microtubule (GO:0005828)	1/18	0.07550157451990408	0.3359820066135732	0	0	13.60875512995896	35.15960381916263	CHMP3
Multivesicular Body Membrane (GO:0032585)	1/19	0.07952675768817616	0.33704197305941325	0	0	12.852067183462532	32.537086758724435	CHMP3
trans-Golgi Network (GO:0005802)	3/241	0.08788545947633104	0.3555366315178847	0	0	2.9524309723889557	7.179488128459272	ARFGEF1;ARL1;ARL5A
Protein Serine/Threonine Phosphatase Complex (GO:0008287)	1/29	0.11883779721998837	0.459850606633868	0	0	8.257890365448505	17.589271499945774	PPP2CA
Golgi Stack (GO:0005795)	1/31	0.12649849758251608	0.4690985952018305	0	0	7.706589147286822	15.93356455305491	MGAT4A
Mitochondrial Envelope (GO:0005740)	2/146	0.13286126245017085	0.47298609432260824	0	0	3.2302287581699347	6.5200547029112705	NDUFA1;GPAT2
Autophagosome Membrane (GO:0000421)	1/35	0.14162293197307202	0.4847861902155157	0	0	6.798563611491108	13.2883851541938	CHMP3
Chromosome (GO:0005694)	2/164	0.15983341365091444	0.5027747721717916	0	0	2.868700072621641	5.260114923287904	SYCP1;LLPH
Respiratory Chain Complex I (GO:0045271)	1/41	0.163825487561595	0.5027747721717916	0	0	5.777034883720931	10.450387576219455	NDUFA1
Mitochondrial Respiratory Chain Complex I (GO:0005747)	1/41	0.163825487561595	0.5027747721717916	0	0	5.777034883720931	10.450387576219455	NDUFA1
Heterochromatin (GO:0000792)	1/49	0.19254806017668188	0.5112376909185813	0	0	4.8122577519379846	7.927759104072992	MPHOSPH8
Multivesicular Body (GO:0005771)	1/50	0.19606909758966404	0.5112376909185813	0	0	4.713811105837684	7.6801565438185	CHMP3
Cation Channel Complex (GO:0034703)	1/53	0.20654139797801352	0.5112376909185813	0	0	4.4411896243291595	7.00488593040589	CALM2
Mitochondrial Membrane (GO:0031966)	4/540	0.20851369172517445	0.5112376909185813	0	0	1.742222621830606	2.7313705121922625	NDUFA1;ACSL3;GPAT2;BCL2L1
Azurophil Granule Membrane (GO:0035577)	1/58	0.22369637344037802	0.5112376909185813	0	0	4.050591595267238	6.06562166400297	DDOST
Calcium Channel Complex (GO:0034704)	1/59	0.2270831108461667	0.5112376909185813	0	0	3.980553327987169	5.900928296803855	CALM2
Vacuolar Membrane (GO:0005774)	1/59	0.2270831108461667	0.5112376909185813	0	0	3.980553327987169	5.900928296803855	CHMP3
Condensed Chromosome (GO:0000793)	1/60	0.2304552422279682	0.5112376909185813	0	0	3.912889239258967	5.742942106486769	NSMCE4A
SCF Ubiquitin Ligase Complex (GO:0019005)	1/61	0.2338128298289642	0.5112376909185813	0	0	3.847480620155039	5.591291022095878	SKP1
Nucleolus (GO:0005730)	5/771	0.24460806029557935	0.5112376909185813	0	0	1.5241514360313315	2.1461547462262405	ARFGEF1;DDX5;NOC4L;LLPH;MPHOSPH8
Platelet Alpha Granule Lumen (GO:0031093)	1/66	0.2503847718366202	0.5112376909185813	0	0	3.5506261180679783	4.916752443225862	PF4
Nuclear Lumen (GO:0031981)	5/780	0.25196087905719294	0.5112376909185813	0	0	1.5057435090479938	2.0756394886916745	ARFGEF1;DDX5;NOC4L;LLPH;MPHOSPH8
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	1/68	0.25691389212161414	0.5112376909185813	0	0	3.4442901770218675	4.680839605090542	EGFR
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	7/1195	0.26319988718300913	0.5112376909185813	0	0	1.3791561447811447	1.840954868297518	ARFGEF1;DDX5;SYCP1;NOC4L;ACSL3;LLPH;MPHOSPH8
Cytoskeleton (GO:0005856)	4/599	0.26368806197564026	0.5112376909185813	0	0	1.5646856332894603	2.0857078893878476	ACTR3;PPP2CA;ARPC3;PKN2
Vesicle (GO:0031982)	2/235	0.27247732541901293	0.5112376909185813	0	0	1.9873769250189346	2.5839872350769024	CALM2;EGFR
Small-Subunit Processome (GO:0032040)	1/73	0.2729917741243003	0.5112376909185813	0	0	3.204295865633075	4.1601809509671455	NOC4L
COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	1/76	0.2824729340691374	0.5112376909185813	0	0	3.0756589147286824	3.8881635472977365	SEC23IP
Coated Vesicle (GO:0030135)	1/79	0.2918318497446042	0.5112376909185813	0	0	2.956917113893858	3.6416725857195718	SEC23IP
Intermediate Filament Cytoskeleton (GO:0045111)	1/81	0.2980039836088855	0.5112376909185813	0	0	2.8827034883720932	3.489940437221971	PKN2
Lipid Droplet (GO:0005811)	1/82	0.3010700791771295	0.5112376909185813	0	0	2.8469710020097616	3.4175387812122002	ACSL3
Autophagosome (GO:0005776)	1/83	0.304122936310001	0.5112376909185813	0	0	2.8121100397050482	3.347319999966344	CHMP3
P-body (GO:0000932)	1/83	0.304122936310001	0.5112376909185813	0	0	2.8121100397050482	3.347319999966344	EIF4E2
Late Endosome Membrane (GO:0031902)	1/85	0.31018916078206055	0.5112376909185813	0	0	2.744878183831672	3.2130802121239235	CHMP3
Clathrin-Coated Endocytic Vesicle (GO:0045334)	1/85	0.31018916078206055	0.5112376909185813	0	0	2.744878183831672	3.2130802121239235	EGFR
Platelet Alpha Granule (GO:0031091)	1/89	0.3221652178778704	0.5167196555122837	0	0	2.6195824524312896	2.9671768547189843	PF4
Clathrin-Coated Vesicle Membrane (GO:0030665)	1/90	0.3251269742549201	0.5167196555122837	0	0	2.5900182910896263	2.909987811567518	EGFR
trans-Golgi Network Membrane (GO:0032588)	1/100	0.3540498524990138	0.5528146819721443	0	0	2.327225745830397	2.4163993335324085	ARL1
Apical Junction Complex (GO:0043296)	1/106	0.3708118094826056	0.5648154584767435	0	0	2.193576965669989	2.176161274432933	PKN2
Cell-Cell Junction (GO:0005911)	2/299	0.3744282252823356	0.5648154584767435	0	0	1.5540503069914835	1.5266293211575472	PKN2;LIMS1
Early Endosome Membrane (GO:0031901)	1/116	0.3977980459517022	0.590067101495025	0	0	2.0018200202224468	1.845299363765907	EGFR
Actin Cytoskeleton (GO:0015629)	2/327	0.41739095736773646	0.6089802492742384	0	0	1.418135746606335	1.239070509491647	ACTR3;ARPC3
Peroxisome (GO:0005777)	1/129	0.4311760287689109	0.6189462348456948	0	0	1.797329215116279	1.5119831671028794	MGAT4A
