Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TCR Signaling R-HSA-202403	5/116	1.5223712379160335E-4	0.06788889522807708	0	0	10.877829048560756	95.61689214011638	PSMD8;PKN2;ARHGEF7;PAG1;SKP1
RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671	2/8	5.149167919037894E-4	0.06788889522807708	0	0	78.06666666666666	591.0821756948658	TEAD4;WWTR1
EPH-Ephrin Signaling R-HSA-2682334	4/91	6.691593633202417E-4	0.06788889522807708	0	0	10.982412408253705	80.27581516823314	ACTR3;ARPC3;PKN2;ARHGEF7
RHO GTPase Effectors R-HSA-195258	6/269	0.001137674451406072	0.06788889522807708	0	0	5.534431770173215	37.51663482079596	ACTR3;PPP2CA;ARPC3;NDE1;PKN2;ARHGEF7
G2/M Transition R-HSA-69275	5/182	0.001194561198018964	0.06788889522807708	0	0	6.798952735290065	45.756791176792305	PSMD8;PPP2CA;NDE1;CDC25B;SKP1
Activation Of RAC1 R-HSA-428540	2/12	0.0012000731197066036	0.06788889522807708	0	0	46.830588235294115	314.9531639020967	PKN2;ARHGEF7
CD28 Dependent Vav1 Pathway R-HSA-389359	2/12	0.0012000731197066036	0.06788889522807708	0	0	46.830588235294115	314.9531639020967	PKN2;ARHGEF7
Mitotic G2-G2/M Phases R-HSA-453274	5/184	0.0012539038666849345	0.06788889522807708	0	0	6.722305491211337	44.91504045157315	PSMD8;PPP2CA;NDE1;CDC25B;SKP1
Signaling By EGFR R-HSA-177929	3/49	0.0012676349731383686	0.06788889522807708	0	0	15.424689440993788	102.89196948635076	ARHGEF7;EGFR;PAG1
YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785	2/15	0.0018930851075216238	0.07755159351213568	0	0	36.01809954751131	225.81718412492273	TEAD4;WWTR1
Sema3A PAK Dependent Axon Repulsion R-HSA-399954	2/16	0.002157422291538445	0.07755159351213568	0	0	33.443697478991595	205.30554640864443	PKN2;ARHGEF7
MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264	2/16	0.002157422291538445	0.07755159351213568	0	0	33.443697478991595	205.30554640864443	MAP2K4;SKP1
GAB1 Signalosome R-HSA-180292	2/17	0.0024381828317910324	0.07755159351213568	0	0	31.21254901960784	187.79037166076333	EGFR;PAG1
MAP Kinase Activation R-HSA-450294	3/62	0.0024985111651888887	0.07755159351213568	0	0	12.0181598062954	72.01353775480179	PPP2CA;MAP2K4;SKP1
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202	4/130	0.002501543053371721	0.07755159351213568	0	0	7.5681774717919295	45.33979720875824	PSMD8;MAP2K4;PKN2;SKP1
MAPK Family Signaling Cascades R-HSA-5683057	6/318	0.002646286353036437	0.07755159351213568	0	0	4.65360873694207	27.617297093930183	PSMD8;PPP2CA;PKN2;ARHGEF7;EGFR;BCL2L1
Ephrin Signaling R-HSA-3928664	2/18	0.0027352221778139145	0.07755159351213568	0	0	29.26029411764706	172.6808725566614	PKN2;ARHGEF7
Costimulation By CD28 Family R-HSA-388841	3/68	0.0032494044906425414	0.07772883243992929	0	0	10.905494505494506	62.48067009040528	PPP2CA;PKN2;ARHGEF7
C-type Lectin Receptors (CLRs) R-HSA-5621481	4/141	0.003351452263610608	0.07772883243992929	0	0	6.956644094626682	39.641472986258556	PSMD8;PKN2;ARHGEF7;SKP1
CD209 (DC-SIGN) Signaling R-HSA-5621575	2/20	0.0033775636848334387	0.07772883243992929	0	0	26.00653594771242	147.99280991824526	PKN2;ARHGEF7
Interleukin-17 Signaling R-HSA-448424	3/69	0.0033865258946857157	0.07772883243992929	0	0	10.739718614718615	61.086989936071376	PPP2CA;MAP2K4;SKP1
Signaling By Interleukins R-HSA-449147	7/453	0.003595652496133994	0.07801235656819772	0	0	3.8191984304932736	21.49456259140897	PSMD8;PPP2CA;MAP2K4;IFNL2;PKN2;BCL2L1;SKP1
RHO GTPases Activate PAKs R-HSA-5627123	2/21	0.0037225813300177336	0.07801235656819772	0	0	24.63653250773994	137.80045211910857	PKN2;ARHGEF7
Processing Of DNA Double-Strand Break Ends R-HSA-5693607	3/80	0.005131566278027151	0.09512073556649323	0	0	9.200371057513914	48.50752435420155	TIMELESS;RNF4;RAD9B
Innate Immune System R-HSA-168249	11/1035	0.005163526501130331	0.09512073556649323	0	0	2.6698576274671053	14.059832038542957	ACTR3;PSMD8;PPP2CA;MAP2K4;ARPC3;PKN2;ARHGEF7;DEFB121;DDOST;BCL2L1;SKP1
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273	2/25	0.005258354070582516	0.09512073556649323	0	0	20.347826086956523	106.78411377704121	PPP2CA;CDC25B
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	7/496	0.005867139589678352	0.09512073556649323	0	0	3.475664621676892	17.85931358208589	PPP2CA;FOSL1;HNRNPM;PKN2;ARHGEF7;EGFR;PAG1
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	3/84	0.0058776662888697685	0.09512073556649323	0	0	8.744268077601411	44.91576793141916	PSMD8;SKP1;CDC25B
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253	3/84	0.0058776662888697685	0.09512073556649323	0	0	8.744268077601411	44.91576793141916	PSMD8;PPP2CA;SKP1
FLT3 Signaling In Disease R-HSA-9682385	2/27	0.006117723656766162	0.09512073556649323	0	0	18.718117647058822	95.39810706861431	ZMYM2;BCL2L1
VEGFR2 Mediated Vascular Permeability R-HSA-5218920	2/27	0.006117723656766162	0.09512073556649323	0	0	18.718117647058822	95.39810706861431	PKN2;ARHGEF7
FCERI Mediated MAPK Activation R-HSA-2871796	2/29	0.007036626639883116	0.10367807013972835	0	0	17.329847494553377	85.8975794976156	MAP2K4;PKN2
MAPK6/MAPK4 Signaling R-HSA-5687128	3/90	0.007112948251424632	0.10367807013972835	0	0	8.138752052545156	40.25295290541448	PSMD8;PKN2;ARHGEF7
Disease R-HSA-1643685	15/1736	0.0075848469320518065	0.10367807013972835	0	0	2.202208018593841	10.750304932669025	ACTR3;MAP2K4;DDX5;EGFR;DDOST;CDC25B;PSMD8;PPP2CA;ZMYM2;ARPC3;MGAT4A;PKN2;RAD9B;BCL2L1;SKP1
EGFR Downregulation R-HSA-182971	2/31	0.008013988926080462	0.10367807013972835	0	0	16.133062880324545	77.86730323779419	ARHGEF7;EGFR
Transcriptional Regulation By RUNX3 R-HSA-8878159	3/95	0.008251378920872047	0.10367807013972835	0	0	7.694487577639752	36.91334196327443	PSMD8;TEAD4;WWTR1
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871	3/96	0.008491161831868562	0.10367807013972835	0	0	7.61136712749616	36.296550506563094	PPP2CA;MAP2K4;SKP1
Generation Of Second Messenger Molecules R-HSA-202433	2/32	0.008524260428122878	0.10367807013972835	0	0	15.594509803921568	74.30532870039043	PKN2;ARHGEF7
Infectious Disease R-HSA-5663205	10/961	0.008794625757471178	0.10367807013972835	0	0	2.589482021658678	12.257609524634075	ACTR3;PSMD8;MAP2K4;DDX5;ARPC3;MGAT4A;PKN2;EGFR;DDOST;SKP1
