"","gene","mean_coef","std_coef"
"29","DNAJA4",-0.0930862605416997,0.0190104070818994
"55","LPAR1",-0.0624460027232504,0.00842236016343314
"104","SYCP1",-0.061969772942939,0.00403930841625908
"95","SEC23IP",-0.0497229450912444,0.012211097564239
"33","ECD",-0.0492343591936824,0.00385599849687119
"96","SKP1",-0.0479749395799451,0.0034010322593604
"39","FOSL1",-0.0476305738932783,0.00240593586983212
"76","PHGR1",-0.0446347837444792,0.00474748447261781
"87","RAD9B",-0.0429173246227783,0.00101368254954696
"26","DBX2",-0.0424225094770074,0.00772860221800439
"54","LLPH",-0.0420283701664663,0.00197144100784253
"27","DDX5",-0.041586783312536,0.00387516781936286
"77","PLA2G7",-0.0407305118623747,0.00623452549738223
"79","PPP1R11",-0.0381954144197307,0.00609509401319912
"75","PAG1",-0.038029644806154,0.00789928441966097
"53","KLF3",-0.033152499925919,0.00631405239585613
"120","ARFGEF1",-0.031212187536703,0.0112835541015123
"110","UBE2L3",-0.0306130686031058,0.00263821057958979
"19","CDC25B",-0.0292922565202477,0.00105267797840344
"78","PMF1",-0.0289714657266618,0.00409028694837128
"159","PF4",-0.0286535332543095,0.0209810275236122
"157","LRMP",-0.0286235022009372,0.0210518413791962
"131","ZMYM2",-0.0266585449988422,0.00880738288074746
"7","ARPC3",-0.0247070911083488,0.00423230881412744
"52","KLF10",-0.0240399891203938,0.00310108053978593
"68","NDE1",-0.0239176467662943,0.00284589398354246
"36","EMC7",-0.0234205330100171,0.00311438088814132
"121","ARL5A",-0.0229904365767432,0.00947646431849618
"49","HNRNPM",-0.022245421478658,0.00137996597237159
"85","PSMG1",-0.0217991452385472,0.00127418533924728
"116","WWTR1",-0.0208776035076659,0.00373480497288721
"67","NARG2",-0.0206592365705368,0.00135879118959982
"3","ACSL3",-0.0202509142087238,0.00204382943052451
"145","PTP4A2",-0.0199491850946473,0.0084760597407325
"57","MAP2K4",-0.0197612497468205,0.00252296001332266
"17","CALM2",-0.0193965111455131,0.00283766964943919
"44","GPAT2",-0.0192860934532635,0.00680911143438261
"48","HKR1",-0.0192824737965022,0.00675832033760588
"42","GLOD5",-0.0191738408048173,0.00682373260743376
"83","PRIMPOL",-0.019102271287707,0.00659376913487948
"22","CPA6",-0.0190052467960287,0.0068234293871011
"99","SMIM4",-0.0188785708457775,0.00653117049749497
"16","C4orf33",-0.0187656382571356,0.00662860470496137
"80","PPP1R2",-0.0185846866835483,0.000556214965153556
"123","C19orf25",-0.0179203819622416,0.00715635995140858
"98","SLC44A3",-0.0174570035595954,0.00280112135735356
"128","NDUFA1",-0.0169773753743258,0.00634800404370255
"113","WDR7",-0.0157428395813697,0.00217115761799864
"50","INTS10",-0.0147100582259734,0.00362359846370576
"92","RNF4",-0.0144607489373988,0.00287179461117709
"140","ARL1",-0.0143549248009525,0.00697390903111445
"154","ZFP69",-0.0137431702787478,0.00745869382467649
"108","TIPARP",-0.0131478973887709,0.000665762563315208
"114","WDR92",-0.0129050492138383,0.00129687695631249
"106","TIMELESS",-0.0126113742416029,0.00335692495947437
"89","RBM18",-0.0119471863788585,0.00208225383187895
"11","BCL2L1",-0.0117524851325884,0.00254279907704813
"188","OTUD1",-0.0116694921774732,0.0101492152993605
"177","DEFB121",-0.0107672066537163,0.00835228072376444
"152","TEAD4",-0.010556024104576,0.00542701402297338
"6","ARHGEF7",-0.0100274733984551,0.00159250854643012
"149","PPP1R8",-0.00978589989405023,0.00527067486038075
"81","PPP2CA",-0.00940367535567003,0.00115653896185486
"150","PTAR1",-0.00900881099486926,0.0050771080804785
"148","ORC1",-0.00844757060070875,0.00541456360137962
"84","PSMD8",-0.00793228429003946,0.00171333876757755
"134","KRTAP5-8",-0.00791500787980665,0.00401877110689745
"143","LIMS1",-0.00754115337807714,0.00424853176183348
"34","EGFR",-0.00748625422912602,0.000906276688908955
"138","TRIM61",-0.00744167818347945,0.00342630091273998
"175","PDSS1",-0.00625724893992826,0.00525885330685157
"125","CMC1",-0.00578637107054386,0.00154617458089824
"124","CHMP3",-0.00456255068907162,0.00241375012727053
"186","MPHOSPH8",-0.00445371125350014,0.0030526931363351
"141","EIF1AD",-0.00439168154532794,0.00198083025284029
"166","NUDT4",-0.00411692986903197,0.00332257753341743
"165","HIST1H3A",-0.0039652602837911,0.00272523790252825
"126","DOCK5",-0.00393942352831685,0.0011191081335559
"158","NUCB2",-0.00323103325419953,0.00166708333627322
"169","ACTR3",-0.00314923021529014,0.00342412551111034
"170","DDOST",-0.00290204267467659,0.0022570989660782
"185","MGAT4A",-0.00264126290697492,0.00222607716659494
"135","NSMCE4A",-0.00229270465448011,0.000638969072887319
"187","NOC4L",-0.00184288103592722,0.00143467538395311
"182","IFNL2",-0.00170685561212096,0.00157079187285247
"163","EIF4E2",-0.00119879802100793,0.00085345145794117
"167","PKN2",-0.000346096614191115,0.000170557947301909
"162","SMARCB1",0.000783766860629688,0.000400033431390762
"63","MRPS11",0.00105762247554377,0.000278712596114097
"23","CYC1",0.0019154020488591,0.000773696045349735
"192","ATP1B3",0.00224428991907181,0.00174999467002995
"97","SKP2",0.00260143864151122,0.000391487602073846
"160","RNF8",0.00274328310432189,0.0011380997424979
"173","IBA57",0.00281596259166673,0.00190195198588221
"171","ESR1",0.00339143600086002,0.00189174687532329
"151","RBM14",0.00347782259809325,0.00175197353958033
"153","VPS37A",0.00413511107534634,0.00253520854185051
"127","HNRNPA1",0.0042646457271655,0.000922941998731178
"181","GTF3C2",0.00439584482884506,0.00425378089435759
"139","WDHD1",0.00459976824999438,0.0014334357593978
"191","SWT1",0.00470868315713169,0.0040031900558561
"8","ASH2L",0.00481869635246314,0.0011926595175704
"65","MRPS35",0.00493125338004692,0.00138710135772489
"190","SQLE",0.00495182941062183,0.00405270140520054
"176","C1orf101",0.00516024012202916,0.0042909877933621
"189","PLA2G4A",0.00521151367678746,0.00410764992851407
"178","EIF5",0.00533342522074156,0.00432224153136302
"137","TPX2",0.00536682707639467,0.00234882178699439
"174","PDCD6IP",0.00543529545002881,0.00490278162606872
"144","OSBP",0.00547401454565903,0.00345515925149971
"184","MEIS1",0.00549911288083943,0.0041344256889056
"179","FMO1",0.00566614454722986,0.00432565135056119
"25","DAP3",0.00572159326949572,0.00061420856745192
"32","EBNA1BP2",0.0057502912132362,0.00214987416175546
"183","KMO",0.00576980087015037,0.00420963798465889
"180","GCSAML",0.00582481656515292,0.00427185555083744
"133","H2AFB1",0.00613068523005366,0.00328494944104232
"146","XRCC3",0.00627694109403958,0.00246497424924097
"73","NUMA1",0.0070454218344634,0.000237868953734503
"88","RBBP8",0.00719796014663275,0.00326440491208858
"13","BUD13",0.00732652506055262,0.00209379477801495
"118","ZMAT5",0.00741949755463465,0.00250315830912757
"117","XRCC2",0.0075088143735624,0.00133934636457747
"132","EZH2",0.00764524960092986,0.0033261664907219
"129","TUBB8",0.00777123667286641,0.00344492777767864
"93","SASS6",0.00811468988127274,0.00147603226695585
"35","ELP4",0.00859011237199413,0.00295050455344759
"86","PTMA",0.00862219812359975,0.00204392732696133
"9","ATP5D",0.00921542146871727,0.000463113149858391
"172","HNRNPH3",0.00934403335422777,0.007212211306285
"156","EPCAM",0.00951495594806259,0.00616404960035266
"5","APEX2",0.0105581092286264,0.00183875108191792
"136","SMIM7",0.0108394617770738,0.0051708463460784
"64","MRPS2",0.0112691460663352,0.00366689908216768
"122","BRCA1",0.0117054351326266,0.00516244959410931
"69","NDUFA4",0.0119084251185416,0.00162243925122753
"12","BIRC8",0.0121670648545412,0.00361178349542622
"91","RNF2",0.0121871211465891,0.00360156962879642
"56","MANF",0.0124087542803386,0.00129276963641752
"43","GNG5",0.0125409804713208,0.00140498516528427
"155","DTYMK",0.0127374820829805,0.00992073804400814
"74","NUP98",0.0131677854945886,0.00235739733262373
"103","SUDS3",0.0139772441225807,0.00315018819973937
"46","H2AFZ",0.0145476065722921,0.00148753574621226
"71","NGRN",0.0150794822861352,0.00111291079330617
"60","MEF2C",0.0158962786733331,0.00371969182069634
"82","PRDM1",0.0159266282637263,0.00362915387527738
"130","UTP3",0.0160182026087791,0.00775541308371142
"111","WDR55",0.0161146002059287,0.00324903017555928
"161","SLC35D2",0.0162251897609806,0.0108325883961702
"142","GPBP1L1",0.0164118333770852,0.00817934297000977
"164","GHITM",0.0165975269631604,0.00968011869650025
"30","DNAJC19",0.0167512995628394,0.00129612841494453
"20","CENPQ",0.0180533281719038,0.00324145217810801
"1","ACACA",0.0184738251879903,0.00362607195083528
"70","NFYA",0.0187425027237294,0.00366443422166503
"119","ZNF225",0.0193168930909641,0.00535475547531682
"168","ZNF37A",0.0194492957791523,0.0116292861746505
"37","FAM72D",0.0195456655636422,0.00577692806766481
