Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	13/60	1.1041800059974583E-8	2.1189214315091224E-5	0	0	9.60748875162053	176.02435224573082	NDUFA13;NDUFA7;NDUFA3;NDUFA2;ATP5MC2;NDUFA1;NDUFB1;ATP5MC1;NDUFS5;NDUFS3;ATP5MG;ATP5MF;ATP5ME
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	15/90	3.6132793494619966E-8	3.466941535808786E-5	0	0	6.9618705035971225	119.2990653104482	NDUFA13;TAFAZZIN;PET100;UQCC2;NDUFA3;NDUFA2;NDUFA1;NDUFB1;TMEM186;FOXRED1;NDUFAF8;AIFM1;NDUFS5;SDHAF1;NDUFS3
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	13/70	7.811674584245145E-8	4.6147756431059273E-5	0	0	7.917877130101239	129.57654529427893	NDUFA7;TAFAZZIN;COX4I1;NDUFA3;NDUFA2;NDUFA1;NDUFB1;UQCR10;COX6A1;COX6B1;UQCRQ;NDUFS5;NDUFS3
Mitochondrial Translation (GO:0032543)	15/98	1.168289831205851E-7	4.6147756431059273E-5	0	0	6.288246511224755	100.37647861437564	MRPS17;MRPS26;NDUFA7;MRPL16;MRPL27;MRPS18A;MRPS21;MRPL14;MRPL58;MRPL24;MRPL21;MRPL54;MRPL11;MRPL20;MRPL40
Cellular Respiration (GO:0045333)	14/85	1.202390735566943E-7	4.6147756431059273E-5	0	0	6.852909196652085	109.1927735163799	NDUFA13;NDUFA7;COX4I1;NDUFA3;NDUFA2;NDUFA1;NDUFB1;UQCR10;COX6A1;COX6B1;BLOC1S1;UQCRQ;NDUFS5;NDUFS3
Mitochondrial Gene Expression (GO:0140053)	15/103	2.289401077167947E-7	5.111530648165238E-5	0	0	5.9294269130150425	90.65978366882594	MRPS17;MRPS26;NDUFA7;MRPL16;MRPL27;MRPS18A;MRPS21;MRPL14;MRPL58;MRPL24;MRPL21;MRPL54;MRPL11;MRPL20;MRPL40
NADH Dehydrogenase Complex Assembly (GO:0010257)	11/53	2.3972785739180377E-7	5.111530648165238E-5	0	0	9.067049319727891	138.2159371983186	NDUFA13;NDUFAF8;TAFAZZIN;NDUFS5;NDUFA3;NDUFA2;NDUFS3;NDUFA1;NDUFB1;TMEM186;FOXRED1
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	11/53	2.3972785739180377E-7	5.111530648165238E-5	0	0	9.067049319727891	138.2159371983186	NDUFA13;NDUFAF8;TAFAZZIN;NDUFS5;NDUFA3;NDUFA2;NDUFS3;NDUFA1;NDUFB1;TMEM186;FOXRED1
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	11/53	2.3972785739180377E-7	5.111530648165238E-5	0	0	9.067049319727891	138.2159371983186	NDUFA13;NDUFA7;NDUFS5;NDUFA3;NDUFA2;NDUFS3;NDUFA1;NDUFB1;ATP5MG;ATP5MF;ATP5ME
Aerobic Electron Transport Chain (GO:0019646)	12/68	4.4303684084095554E-7	8.501876975737937E-5	0	0	7.426399182213136	108.6453453374759	NDUFA7;UQCRQ;COX4I1;NDUFS5;NDUFA3;NDUFA2;NDUFS3;NDUFA1;NDUFB1;UQCR10;COX6A1;COX6B1
