Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial Membrane (GO:0031966)	57/540	1.3205790149952284E-17	3.2090070064384052E-15	0	0	4.34992870435266	169.0637909056729	MRPS17;NDUFA13;ACADVL;COX4I1;AQP8;MICOS13;COX6A1;TMEM186;SLC22A14;MRPL40;HINT2;AIFM1;MPV17;MRPS26;MRPS18A;MRPS21;CPT1B;COX6B1;QTRT1;HAX1;SLC25A19;NDUFS5;NDUFS3;MTFP1;TAFAZZIN;MRPL16;ATP5MC2;NDUFB1;MRPL14;MRPL58;TIMM10;UQCR10;MRPL54;FOXRED1;PRICKLE4;MRPL11;ATP5MC1;MRPL20;UBB;UCP3;BNIP1;ATP5MG;ATP5MF;ATP5ME;NDUFA7;UQCC2;NDUFA3;NDUFA2;MRPL27;NDUFA1;TIMM44;MRPL24;MYO19;MRPL21;UQCRQ;TOMM7;ARMC12
Mitochondrial Inner Membrane (GO:0005743)	46/370	4.050993808774101E-17	4.921957477660533E-15	0	0	5.166549088771311	195.011314473346	MRPS17;NDUFA13;MTFP1;TAFAZZIN;AQP8;COX4I1;MRPL16;ATP5MC2;NDUFB1;MRPL14;MRPL58;MICOS13;TIMM10;UQCR10;COX6A1;TMEM186;MRPL54;FOXRED1;MRPL11;ATP5MC1;MRPL20;SLC22A14;MRPL40;AIFM1;UCP3;MPV17;ATP5MG;ATP5MF;ATP5ME;MRPS26;NDUFA7;UQCC2;NDUFA3;NDUFA2;MRPL27;NDUFA1;MRPS18A;MRPS21;TIMM44;MRPL24;MRPL21;COX6B1;UQCRQ;SLC25A19;NDUFS5;NDUFS3
Organelle Inner Membrane (GO:0019866)	46/398	6.868351909494865E-16	5.563365046690841E-14	0	0	4.748603896103896	165.79483302713084	MRPS17;NDUFA13;MTFP1;TAFAZZIN;COX4I1;AQP8;MRPL16;ATP5MC2;NDUFB1;MRPL14;MRPL58;MICOS13;TIMM10;UQCR10;COX6A1;TMEM186;MRPL54;FOXRED1;MRPL11;ATP5MC1;MRPL20;SLC22A14;MRPL40;AIFM1;UCP3;MPV17;ATP5MG;ATP5MF;ATP5ME;NDUFA7;MRPS26;UQCC2;NDUFA3;NDUFA2;MRPL27;NDUFA1;MRPS18A;MRPS21;TIMM44;MRPL24;MRPL21;COX6B1;UQCRQ;SLC25A19;NDUFS5;NDUFS3
Mitochondrial Respiratory Chain Complex I (GO:0005747)	8/41	1.7484511134154557E-5	8.497472411199116E-4	0	0	8.351795037407825	91.48719266747773	NDUFA13;NDUFA7;NDUFA3;NDUFS5;NDUFA2;NDUFA1;NDUFS3;NDUFB1
Respiratory Chain Complex I (GO:0045271)	8/41	1.7484511134154557E-5	8.497472411199116E-4	0	0	8.351795037407825	91.48719266747773	NDUFA13;NDUFA7;NDUFA3;NDUFS5;NDUFA2;NDUFA1;NDUFS3;NDUFB1
Mitochondrial Envelope (GO:0005740)	14/146	7.762285436737713E-5	0.003143725601878774	0	0	3.674419237255862	34.773412687600576	TIMM8B;NDUFA13;ACADVL;TAFAZZIN;UQCC2;AQP8;NDUFA2;NDUFA1;TIMM10;HAX1;AIFM1;BLOC1S1;NDUFS3;BNIP1
Mitochondrial Proton-Transporting ATP Synthase Complex (GO:0005753)	5/18	1.1728622593044821E-4	0.003562569112637364	0	0	13.193802663767329	119.41569927602511	ATP5MC2;ATP5MG;ATP5MF;ATP5MC1;ATP5ME
Proton-Transporting ATP Synthase Complex (GO:0045259)	5/18	1.1728622593044821E-4	0.003562569112637364	0	0	13.193802663767329	119.41569927602511	ATP5MC2;ATP5MG;ATP5MF;ATP5MC1;ATP5ME
RNA Polymerase II, Core Complex (GO:0005665)	4/14	5.238137986887544E-4	0.014142972564596368	0	0	13.6994708994709	103.49093065103153	POLR2G;POLR2H;POLR2I;POLR2J
U6 snRNP (GO:0005688)	3/7	7.435808796770548E-4	0.018069015376152433	0	0	25.649207746478872	184.77773943040359	LSM7;LSM4;LSM2
