Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial Membrane (GO:0031966)	16/540	3.576853040949287E-9	3.791464223406244E-7	0	0	7.686328938237335	149.48973945081508	NDUFB8;MTCH2;ATP5PD;TAFAZZIN;NDUFC2;TIMM44;MRPL58;MICOS13;MIEF1;SDHB;COX7C;COASY;COQ4;CYP27B1;YME1L1;DNM1L
Organelle Inner Membrane (GO:0019866)	12/398	3.1887424250623536E-7	1.6900334852830476E-5	0	0	7.492227979274611	112.07226023868238	COQ4;NDUFB8;ATP5PD;TAFAZZIN;NDUFC2;YME1L1;TIMM44;MRPL58;MICOS13;SDHB;COX7C;LEMD2
Mitochondrial Inner Membrane (GO:0005743)	11/370	1.176696885772431E-6	4.1576623297292566E-5	0	0	7.304436442693118	99.7260047082876	COQ4;NDUFB8;ATP5PD;TAFAZZIN;NDUFC2;YME1L1;TIMM44;MRPL58;MICOS13;SDHB;COX7C
Mitochondrial Matrix (GO:0005759)	9/355	4.0977080117030256E-5	0.0010858926231013019	0	0	6.0572873658133775	61.19373149423856	NDUFB8;THEM5;DLST;NDUFS1;TIMM44;MRPL58;MRM2;COASY;TBRG4
Mitochondrial Outer Membrane (GO:0005741)	6/151	7.442823128172217E-5	0.00157787850317251	0	0	9.399286563614744	89.34656551806674	CYP27B1;MTCH2;TAFAZZIN;MIEF1;DNM1L;COASY
Organelle Outer Membrane (GO:0031968)	6/170	1.4284426128534976E-4	0.0024399496929357017	0	0	8.302354920100925	73.50702139281535	CYP27B1;MTCH2;TAFAZZIN;MIEF1;DNM1L;COASY
SAGA Complex (GO:0000124)	3/23	1.6112875330707464E-4	0.0024399496929357017	0	0	33.145	289.46545397203215	SUPT20H;ATXN7L3;TAF5L
Histone Acetyltransferase Complex (GO:0000123)	3/27	2.6256210045800664E-4	0.003478947831068588	0	0	27.615277777777777	227.68859851648438	EP300;SUPT20H;TAF5L
HFE-transferrin Receptor Complex (GO:1990712)	2/7	4.4243179068805644E-4	0.004689776981293398	0	0	87.48131868131868	675.6378419258923	TFRC;BMPR1A
MICOS Complex (GO:0061617)	2/7	4.4243179068805644E-4	0.004689776981293398	0	0	87.48131868131868	675.6378419258923	MICOS13;MICOS10
Nucleus (GO:0005634)	35/4487	6.434942339309933E-4	0.006200944436062299	0	0	2.0948546952938627	15.394243958785454	MTCH2;CRTC3;CELF1;CCNF;KMT2B;DLST;FOXK1;TXN;GLI1;SMG7;TAF5L;SOX2;CYP27B1;PPP6R3;RBBP8;EP300;PCGF1;MCMBP;MAPK1;KPNA2;ATXN7L3;BPTF;RNF20;DYNLT4;SIRT7;TRNAU1AP;PTP4A1;EWSR1;H2AC20;DDIT3;CSNK2B;SRRD;LHX5;SRFBP1;FERMT2
SAGA-type Complex (GO:0070461)	3/38	7.297626743769419E-4	0.00644623695699632	0	0	18.925714285714285	136.69648222321814	SUPT20H;ATXN7L3;TAF5L
Mitochondrial Respiratory Chain Complex I (GO:0005747)	3/41	9.129094430320481E-4	0.006912028640099792	0	0	17.428947368421053	121.98300429148165	NDUFB8;NDUFC2;NDUFS1
Respiratory Chain Complex I (GO:0045271)	3/41	9.129094430320481E-4	0.006912028640099792	0	0	17.428947368421053	121.98300429148165	NDUFB8;NDUFC2;NDUFS1
MIB Complex (GO:0140275)	2/12	0.001369596559651751	0.00907357720769285	0	0	43.72967032967033	288.320170696009	MICOS13;MICOS10
SAM Complex (GO:0001401)	2/12	0.001369596559651751	0.00907357720769285	0	0	43.72967032967033	288.320170696009	MICOS13;MICOS10
Intracellular Organelle Lumen (GO:0070013)	11/856	0.002056437677766314	0.012822493755484075	0	0	3.0261509597344496	18.72213046390766	NDUFB8;CSNK2B;THEM5;DLST;MAPK1;NDUFS1;TIMM44;MRPL58;MRM2;COASY;TBRG4
Intracellular Membrane-Bounded Organelle (GO:0043231)	37/5175	0.0022607226698665023	0.01331314461143607	0	0	1.8991999388311183	11.570060398384012	MTCH2;CRTC3;TFRC;CELF1;CCNF;KMT2B;DLST;FOXK1;TXN;GLI1;SMG7;TAF5L;SOX2;CYP27B1;PPP6R3;RBBP8;EP300;PCGF1;MCMBP;MAPK1;KPNA2;DNM1L;ATXN7L3;BPTF;RNF20;DYNLT4;SIRT7;TRNAU1AP;PTP4A1;EWSR1;H2AC20;DDIT3;CSNK2B;SRRD;LHX5;SRFBP1;FERMT2
Transcription Factor TFTC Complex (GO:0033276)	2/17	0.0027798364268155585	0.015508561118023642	0	0	29.145787545787545	171.53354523215606	ATXN7L3;TAF5L
Mitochondrial Outer Membrane Translocase Complex (GO:0005742)	2/21	0.004240848035768079	0.022476494589570815	0	0	23.005205320994794	125.67725311699562	MICOS13;MICOS10
Extracellular Membrane-Bounded Organelle (GO:0065010)	2/57	0.02893164453710281	0.13529707448901007	0	0	7.932867132867133	28.10471491133451	PDCD6IP;TFRC
Mitochondrial Envelope (GO:0005740)	3/146	0.030701093086551494	0.13529707448901007	0	0	4.606993006993007	16.04826212944737	TAFAZZIN;NDUFS1;SDHB
Extracellular Vesicle (GO:1903561)	2/60	0.03180043473842672	0.13529707448901007	0	0	7.521409624857901	25.935891167994004	PDCD6IP;TFRC
