Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517	7/163	1.1046291501610624E-5	0.0037330059309069875	0	0	10.305381633870006	117.61960553458276	NDUFB8;ATP5PD;NDUFC2;DLST;NDUFS1;SDHB;COX7C
Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200	6/112	1.3825947892248102E-5	0.0037330059309069875	0	0	12.882888744307092	144.1461712810855	NDUFB8;ATP5PD;NDUFC2;NDUFS1;SDHB;COX7C
Respiratory Electron Transport R-HSA-611105	5/90	6.275908057536935E-5	0.009250775691607071	0	0	13.25	128.20974646076138	NDUFB8;NDUFC2;NDUFS1;COX7C;SDHB
Telomere Maintenance R-HSA-157579	5/92	6.971323103195567E-5	0.009250775691607071	0	0	12.944096133751307	123.88950295260676	PPP6C;ACD;DSCC1;H2AC20;PPP6R3
Extension Of Telomeres R-HSA-180786	4/50	8.565533047784326E-5	0.009250775691607071	0	0	19.40498290180752	181.73114029905219	PPP6C;ACD;DSCC1;PPP6R3
Signal Transduction By L1 R-HSA-445144	3/20	1.0477271693988004E-4	0.009429544524589203	0	0	39.0	357.3849690260219	CSNK2B;MAPK1;ITGAV
HATs Acetylate Histones R-HSA-3214847	5/106	1.3650199591118227E-4	0.010530153970291204	0	0	11.141989198919893	99.15447074222291	H2AC20;EP300;SUPT20H;ATXN7L3;TAF5L
Telomere Extension By Telomerase R-HSA-171319	3/23	1.6112875330707464E-4	0.010876190848227538	0	0	33.145	289.46545397203215	PPP6C;ACD;PPP6R3
Cell Cycle R-HSA-1640170	11/654	2.2495530446450522E-4	0.011517350090145987	0	0	4.018965975040777	33.757742060545034	PPP6C;ACD;NUP188;H2AC20;DSCC1;PPP6R3;CSNK2B;RBBP8;EP300;MAPK1;LEMD2
Chromosome Maintenance R-HSA-73886	5/118	2.255759072345227E-4	0.011517350090145987	0	0	9.952735317779565	83.57166375385015	PPP6C;ACD;H2AC20;DSCC1;PPP6R3
Signaling By TGFB Family Members R-HSA-9006936	5/119	2.3461268702149233E-4	0.011517350090145987	0	0	9.8649322169059	82.44690637263734	EP300;MAPK1;SRFBP1;ITGAV;BMPR1A
Cristae Formation R-HSA-8949613	3/29	3.258007686017775E-4	0.014661034587079987	0	0	25.48846153846154	204.65257992017186	ATP5PD;MICOS13;MICOS10
Ca-dependent Events R-HSA-111996	3/35	5.719153890272941E-4	0.02268477278869899	0	0	20.703125	154.58028649873583	MAPK1;KPNA2;CAMKK2
CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729	2/8	5.881237389662702E-4	0.02268477278869899	0	0	72.8974358974359	542.2529124166269	KPNA2;CAMKK2
Mitochondrial Biogenesis R-HSA-1592230	4/89	7.909892027736086E-4	0.026701252099534428	0	0	10.480898876404494	74.85695097789208	CRTC3;ATP5PD;MICOS13;MICOS10
Chromatin Modifying Enzymes R-HSA-3247509	6/238	8.577215501176366E-4	0.026701252099534428	0	0	5.848692033293698	41.298965757033315	H2AC20;KMT2B;EP300;SUPT20H;ATXN7L3;TAF5L
Signaling By TGF-beta Receptor Complex R-HSA-170834	4/91	8.597432316868181E-4	0.026701252099534428	0	0	10.238925481079685	72.27531334183712	EP300;MAPK1;ITGAV;SRFBP1
Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817	2/10	9.394884997984335E-4	0.026701252099534428	0	0	54.667582417582416	381.04261518159007	ATIC;COASY
CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932	2/10	9.394884997984335E-4	0.026701252099534428	0	0	54.667582417582416	381.04261518159007	KPNA2;CAMKK2
PLC Beta Mediated Events R-HSA-112043	3/47	0.0013609613692835	0.0367459569706545	0	0	15.047727272727272	99.30843828478925	MAPK1;KPNA2;CAMKK2
Nucleotide Biosynthesis R-HSA-8956320	2/13	0.0016137223207165793	0.041471976772106574	0	0	39.752247752247754	255.57561905723225	ATIC;COASY
Complex I Biogenesis R-HSA-6799198	3/51	0.001724613214628775	0.041471976772106574	0	0	13.790972222222223	87.74854266779286	NDUFB8;NDUFC2;NDUFS1
G-protein Mediated Events R-HSA-112040	3/52	0.0018240811047623648	0.041471976772106574	0	0	13.508843537414966	85.19593881136177	MAPK1;KPNA2;CAMKK2
Mitotic Prophase R-HSA-68875	4/112	0.0018552538413120262	0.041471976772106574	0	0	8.239284228048273	51.822904089999696	NUP188;H2AC20;MAPK1;LEMD2
Cellular Responses To Stress R-HSA-2262752	10/722	0.0019199989246345634	0.041471976772106574	0	0	3.2481047786652226	20.31829419671166	DNAJA1;ACD;CRTC3;NUP188;H2AC20;DDIT3;CSNK2B;EP300;MAPK1;COX7C
Cellular Responses To Stimuli R-HSA-8953897	10/736	0.0022087720701098545	0.045874496840743136	0	0	3.18314580636596	19.4659505723665	DNAJA1;ACD;CRTC3;NUP188;H2AC20;DDIT3;CSNK2B;EP300;MAPK1;COX7C
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657	2/16	0.002460222606431759	0.04920445212863518	0	0	31.229199372056517	187.60952274078338	DDIT3;EP300
Post NMDA Receptor Activation Events R-HSA-438064	3/61	0.002882392435808606	0.05558899697630883	0	0	11.407471264367816	66.723835131036	MAPK1;KPNA2;CAMKK2
Mitochondrial Protein Import R-HSA-1268020	3/65	0.0034518170360643002	0.06427521377499042	0	0	10.669354838709678	60.483020290496206	NDUFB8;TAFAZZIN;TIMM44
