Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nucleus (GO:0005634)	41/4487	1.477165889419277E-4	0.011070616750862818	0	0	2.1583139083139082	19.036792837503217	NAA40;MAX;PYROXD1;C2ORF49;ENO1;DBF4B;ZFP36L1;RMND5A;SFR1;LEO1;PLAGL2;OTX1;PAK2;GLUL;RBM10;BTF3;H2AC6;PARP1;TIPARP;RPP40;ATRX;NSMCE1;TSC1;USB1;FOSL2;COPRS;SEPSECS;DDX19A;CRYGD;KIF18A;TFDP1;CDK6;DDX39B;RRAGC;TRAF6;MYH9;DNAJC9;STUB1;STAMBP;MPHOSPH8;BIRC2
Focal Adhesion (GO:0005925)	9/387	2.341248034492941E-4	0.011070616750862818	0	0	4.7412536443148685	39.635250597531225	ITGB1;NCKAP1;ARF1;CD151;ITGA3;SNAP23;MYH9;CSPG4;ARHGEF7
Cell-Substrate Junction (GO:0030055)	9/395	2.7222828075892176E-4	0.011070616750862818	0	0	4.641085968065983	38.09806940360122	ITGB1;NCKAP1;ARF1;CD151;ITGA3;SNAP23;MYH9;CSPG4;ARHGEF7
Lysosome (GO:0005764)	10/503	3.677591065956512E-4	0.011216652751167362	0	0	4.056795131845842	32.08147032771925	SPAG9;ATP6V0E1;RRAGC;GNLY;ATP6AP2;SPNS1;CHMP3;CSPG4;ATP6V1D;TMEM165
Lysosomal Membrane (GO:0005765)	8/356	6.574738015814206E-4	0.01604236075858666	0	0	4.53848833159178	33.25398345243227	SPAG9;ATP6V0E1;SURF4;ATP6AP2;SPNS1;CHMP3;ATP6V1D;TMEM165
Lytic Vacuole Membrane (GO:0098852)	7/287	8.946181004618178E-4	0.018190568042723627	0	0	4.90325	34.41646892663537	SPAG9;ATP6V0E1;ATP6AP2;SPNS1;CHMP3;ATP6V1D;TMEM165
CD40 Receptor Complex (GO:0035631)	2/10	0.0012407627251969484	0.021624721782003954	0	0	47.345238095238095	316.8357057532792	TRAF6;TRAF2
Intracellular Membrane-Bounded Organelle (GO:0043231)	42/5175	0.001623474409356488	0.02475798474268644	0	0	1.8580227487299374	11.9344270621642	NAA40;MAX;PYROXD1;C2ORF49;ENO1;DBF4B;ZFP36L1;TMEM165;RMND5A;SFR1;LEO1;PLAGL2;OTX1;PAK2;GLUL;RBM10;BTF3;H2AC6;PARP1;TIPARP;RPP40;ATRX;NSMCE1;TSC1;USB1;FOSL2;COPRS;SEPSECS;DDX19A;CRYGD;KIF18A;TFDP1;CDK6;DDX39B;RRAGC;TRAF6;MYH9;DNAJC9;STUB1;STAMBP;MPHOSPH8;BIRC2
Kinetochore Microtubule (GO:0005828)	2/18	0.0041024606560516284	0.05421358755631208	0	0	23.663095238095238	130.0563545257806	KIF18A;CHMP3
Cytoplasmic Side Of Plasma Membrane (GO:0009898)	4/124	0.004443736684943613	0.05421358755631208	0	0	6.399029126213592	34.65880332442269	TRAF6;MYH9;TRAF2;BIRC2
Cytoplasmic Vesicle Membrane (GO:0030659)	7/389	0.004928078467998079	0.054414906842500096	0	0	3.5753141361256544	18.994950859042792	ITGB1;ATP6V0E1;ATP6AP1;TRAF6;ATP6AP2;RAB6A;TMEM165
Proton-Transporting V-type ATPase Complex (GO:0033176)	2/21	0.005572317734179348	0.054414906842500096	0	0	19.923809523809524	103.40345970644329	ATP6AP2;ATP6V1D
Spindle Microtubule (GO:0005876)	3/68	0.005798309745512305	0.054414906842500096	0	0	8.799408284023668	45.318614229375605	KIF18A;CHMP3;SKA1
Endosome Membrane (GO:0010008)	6/361	0.01306158198901917	0.11382235733288132	0	0	3.269502161483754	14.18336203503393	ITGB1;ATP6V0E1;ATP6AP1;TRAF6;ATP6AP2;TMEM165
Phagocytic Vesicle (GO:0045335)	3/100	0.016547809401324165	0.12283294962239251	0	0	5.886994448850119	24.145516847248526	ATP6V0E1;GNLY;SNAP23
trans-Golgi Network Membrane (GO:0032588)	3/100	0.016547809401324165	0.12283294962239251	0	0	5.886994448850119	24.145516847248526	SYS1;RAB6A;TMEM165
Secretory Granule Membrane (GO:0030667)	5/279	0.01711606675066125	0.12283294962239251	0	0	3.5099112637755834	14.277398303000332	SURF4;ATP6AP2;SNAP23;RAB6A;ATP6V1D
Phagocytic Vesicle Membrane (GO:0030670)	2/45	0.024174695749788762	0.16060207762797155	0	0	8.792912513842746	32.73116683830144	ATP6V0E1;SNAP23
Cdc73/Paf1 Complex (GO:0016593)	1/5	0.02646774609827486	0.16060207762797155	0	0	46.908018867924525	170.36187584680835	LEO1
Cortical Granule (GO:0060473)	1/5	0.02646774609827486	0.16060207762797155	0	0	46.908018867924525	170.36187584680835	MYH9
Heterochromatin (GO:0000792)	2/49	0.028323913780459967	0.16060207762797155	0	0	8.042958459979737	28.665496618593785	ATRX;MPHOSPH8
Bounding Membrane Of Organelle (GO:0098588)	9/819	0.031495565016377375	0.16060207762797155	0	0	2.1636054421768707	7.481549727458567	ITGB1;ARF1;ATP6V0E1;ATP6AP1;TRAF6;SURF4;ATP6AP2;RAB6A;TMEM165
Astral Microtubule (GO:0000235)	1/6	0.0316774286006728	0.16060207762797155	0	0	37.52452830188679	129.54033352045758	KIF18A
Nuclear Membrane (GO:0031965)	4/227	0.0337138030899702	0.16060207762797155	0	0	3.4254865253167313	11.611878435321719	SURF4;NUP35;ENO1;LEMD3
Ribonuclease MRP Complex (GO:0000172)	1/7	0.03685949322609183	0.16060207762797155	0	0	31.2688679245283	103.20734112335163	RPP40
Serine C-palmitoyltransferase Complex (GO:0017059)	1/7	0.03685949322609183	0.16060207762797155	0	0	31.2688679245283	103.20734112335163	SPTSSA
Cytolytic Granule (GO:0044194)	1/7	0.03685949322609183	0.16060207762797155	0	0	31.2688679245283	103.20734112335163	GNLY
Death-Inducing Signaling Complex (GO:0031264)	1/7	0.03685949322609183	0.16060207762797155	0	0	31.2688679245283	103.20734112335163	CFLAR
Vacuolar Membrane (GO:0005774)	2/59	0.039819054727445145	0.16534575247969818	0	0	6.628571428571429	21.366601567703366	ATP6AP2;CHMP3
Filopodium (GO:0030175)	2/60	0.041051329905249366	0.16534575247969818	0	0	6.513957307060755	20.798623034620906	ITGB1;ITGA3
Smc5-Smc6 Complex (GO:0030915)	1/8	0.04201408464648069	0.16534575247969818	0	0	26.80053908355795	84.9510186277944	NSMCE1
Multimeric Ribonuclease P Complex (GO:0030681)	1/9	0.047141346890498696	0.17225550387993216	0	0	23.44929245283019	71.62832151155955	RPP40
Amphisome Membrane (GO:1904930)	1/9	0.047141346890498696	0.17225550387993216	0	0	23.44929245283019	71.62832151155955	CHMP3
Nuclear Inclusion Body (GO:0042405)	1/10	0.05224142330784828	0.17225550387993216	0	0	20.842767295597483	61.52533852087739	STUB1
Primary Lysosome (GO:0005766)	1/10	0.05224142330784828	0.17225550387993216	0	0	20.842767295597483	61.52533852087739	SNAP23
Proton-Transporting V-type ATPase, V1 Domain (GO:0033180)	1/10	0.05224142330784828	0.17225550387993216	0	0	20.842767295597483	61.52533852087739	ATP6V1D
Vacuolar Proton-Transporting V-type ATPase, V1 Domain (GO:0000221)	1/10	0.05224142330784828	0.17225550387993216	0	0	20.842767295597483	61.52533852087739	ATP6V1D
Tertiary Granule Membrane (GO:0070821)	2/72	0.0569012171577916	0.1748090924555543	0	0	5.394013605442177	15.461608521168383	SNAP23;ATP6AP2
Amphisome (GO:0044753)	1/11	0.05731445654280469	0.1748090924555543	0	0	18.75754716981132	53.63162372466097	CHMP3
Filopodium Membrane (GO:0031527)	1/11	0.05731445654280469	0.1748090924555543	0	0	18.75754716981132	53.63162372466097	ITGA3
SUMO Ligase Complex (GO:0106068)	1/12	0.06236058854306352	0.1818049917517406	0	0	17.051457975986278	47.314757262521425	NSMCE1
Cytoplasmic Stress Granule (GO:0010494)	2/76	0.06258860371781234	0.1818049917517406	0	0	5.101415701415702	14.136900692312901	DDX19A;LARP4
Glial Cell Projection (GO:0097386)	1/13	0.06737996053921816	0.19117105083220037	0	0	15.629716981132075	42.159717787274545	ITGB1
Lipid Droplet (GO:0005811)	2/82	0.07146171429209697	0.1962104664135228	0	0	4.717380952380952	12.447250421444712	TRAF6;TSC1
Acrosomal Membrane (GO:0002080)	1/14	0.07237271302138136	0.1962104664135228	0	0	14.426705370101596	37.88345989762488	RAB6A
Myosin Filament (GO:0032982)	1/15	0.07733898580252882	0.20075226101933014	0	0	13.3955525606469	34.28668175050354	MYH9
Exocytic Vesicle (GO:0070382)	1/15	0.07733898580252882	0.20075226101933014	0	0	13.3955525606469	34.28668175050354	RAB6A
Specific Granule Membrane (GO:0035579)	2/90	0.08387825679324983	0.21319056934950997	0	0	4.286796536796537	10.62434876179719	SNAP23;ATP6V1D
Endoribonuclease Complex (GO:1902555)	1/17	0.08719264777091836	0.2170918985316743	0	0	11.71992924528302	28.59235270387481	RPP40
Multivesicular Body Membrane (GO:0032585)	1/19	0.09694205047358935	0.23190059132897844	0	0	10.416666666666666	24.308769758353346	CHMP3
Nuclear Outer Membrane (GO:0005640)	1/19	0.09694205047358935	0.23190059132897844	0	0	10.416666666666666	24.308769758353346	ENO1
Cytoplasmic Dynein Complex (GO:0005868)	1/21	0.10658828653704866	0.2453541690098101	0	0	9.374056603773585	20.986465963830224	DYNC1LI2
Endocytic Vesicle Lumen (GO:0071682)	1/21	0.10658828653704866	0.2453541690098101	0	0	9.374056603773585	20.986465963830224	GNLY
Vacuolar Proton-Transporting V-type ATPase Complex (GO:0016471)	1/24	0.12086656552204234	0.26810401806707573	0	0	8.150123051681707	17.221765081771377	ATP6V1D
Excitatory Synapse (GO:0060076)	1/24	0.12086656552204234	0.26810401806707573	0	0	8.150123051681707	17.221765081771377	ITGA3
Endoplasmic Reticulum Tubular Network (GO:0071782)	1/26	0.13025959137453225	0.2837798240659452	0	0	7.497358490566038	15.281310728397788	RNF41
Endoplasmic Reticulum Membrane (GO:0005789)	7/801	0.1377205198024924	0.2923860932875786	0	0	1.6837909319899245	3.3381641272756215	ELOVL1;FAAH;ALG6;SURF4;ATP6AP2;SPTSSA;RAB6A
trans-Golgi Network (GO:0005802)	3/241	0.1390032246777013	0.2923860932875786	0	0	2.382231738849386	4.700758186727451	SYS1;RAB6A;TMEM165
MLL1 Complex (GO:0071339)	1/30	0.14874839367635548	0.3016733838542419	0	0	6.461938841899805	12.31321821731818	MAX
MLL1/2 Complex (GO:0044665)	1/31	0.1533094245816639	0.3016733838542419	0	0	6.246226415094339	11.713529763522214	MAX
Nuclear Inner Membrane (GO:0005637)	1/31	0.1533094245816639	0.3016733838542419	0	0	6.246226415094339	11.713529763522214	LEMD3
Synaptic Membrane (GO:0097060)	1/31	0.1533094245816639	0.3016733838542419	0	0	6.246226415094339	11.713529763522214	ITGA3
Cul4-RING E3 Ubiquitin Ligase Complex (GO:0080008)	1/35	0.17131270880334706	0.32656485115638034	0	0	5.510266370699223	9.721568368691797	DDA1
Autophagosome Membrane (GO:0000421)	1/35	0.17131270880334706	0.32656485115638034	0	0	5.510266370699223	9.721568368691797	CHMP3
Supramolecular Fiber (GO:0099512)	1/36	0.17575395157449714	0.3293392499450841	0	0	5.35256064690027	9.306338035584416	MYH9
Mitotic Spindle (GO:0072686)	2/143	0.17816713521619307	0.3293392499450841	0	0	2.668287740628166	4.6028849593492644	KIF18A;SKA1
Neuromuscular Junction (GO:0031594)	1/39	0.18893668942205585	0.34403397178344497	0	0	4.929245283018868	8.21381483486549	ITGB1
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307)	1/40	0.1932843498162648	0.34677486290565157	0	0	4.802612481857765	7.8935395808347755	CDK6
