Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction R-HSA-162582	29/2465	2.70587463329743E-5	0.013854078122482842	0	0	2.6643772893772892	28.022588848293218	ITGB1;NCKAP1;SNAP23;SKA1;LEO1;RAB6A;ATP6V1D;GPSM3;ATP6V0E1;EGR4;ATP6AP1;H2AC6;PARP1;ITGA3;TSC1;CFLAR;LEMD3;RNF41;DYNC1LI2;KIF18A;TFDP1;DDX39B;RRAGC;TRAF6;SPNS1;MYH9;STUB1;ARHGEF7;BIRC2
RHO GTPase Effectors R-HSA-195258	8/269	9.972444026137501E-5	0.025529456706912004	0	0	6.078253802391734	55.99955872711284	ITGB1;NCKAP1;DYNC1LI2;KIF18A;H2AC6;MYH9;ARHGEF7;SKA1
Signaling By Rho GTPases R-HSA-194315	12/644	1.706805718144256E-4	0.02738838078235421	0	0	3.8496335776149233	33.39833050850761	ITGB1;NCKAP1;DYNC1LI2;KIF18A;DDX39B;ATP6AP1;H2AC6;SNAP23;MYH9;ARHGEF7;LEMD3;SKA1
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	12/660	2.1397172486214226E-4	0.02738838078235421	0	0	3.7514619883040936	31.69860335817378	ITGB1;NCKAP1;DYNC1LI2;KIF18A;DDX39B;ATP6AP1;H2AC6;SNAP23;MYH9;ARHGEF7;LEMD3;SKA1
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	10/496	3.2929892533657543E-4	0.03019884024819254	0	0	4.116711212931144	33.01003259821347	ITGB1;NCKAP1;ATP6V0E1;EGR4;ATP6AP1;ITGA3;STUB1;ARHGEF7;ATP6V1D;RNF41
Insulin Receptor Recycling R-HSA-77387	3/26	3.5389265915850633E-4	0.03019884024819254	0	0	24.92056856187291	198.03171957165438	ATP6V0E1;ATP6AP1;ATP6V1D
Regulation Of Necroptotic Cell Death R-HSA-5675482	3/29	4.915902883712416E-4	0.03413643131399448	0	0	22.0417899408284	167.91137870835018	STUB1;CFLAR;BIRC2
RIPK1-mediated Regulated Necrosis R-HSA-5213460	3/31	6.000544566913092E-4	0.03413643131399448	0	0	20.465315934065934	151.82174458580187	STUB1;CFLAR;BIRC2
Transferrin Endocytosis And Recycling R-HSA-917977	3/31	6.000544566913092E-4	0.03413643131399448	0	0	20.465315934065934	151.82174458580187	ATP6V0E1;ATP6AP1;ATP6V1D
Diseases Of Mitotic Cell Cycle R-HSA-9675126	3/38	0.0010959763555549765	0.0561139894044148	0	0	16.366483516483516	111.55574646383641	CDK6;TFDP1;ATRX
Immune System R-HSA-168256	21/1943	0.0013431980125959968	0.061778964934928855	0	0	2.2831776492510225	15.097973251858452	ITGB1;NCKAP1;ATP6V0E1;SURF4;ATP6AP2;SNAP23;RNF41;SEPSECS;DYNC1LI2;KIF18A;GNLY;TRAF6;SPNS1;MYH9;NUP35;STUB1;ARHGEF7;RAB6A;ATP6V1D;BIRC2;SIPA1
