Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein Modification Process (GO:0036211)	59/711	5.773911605061897E-9	1.770858689272484E-5	0	0	2.4763871346084447	46.97685608786052	GSK3B;BMPR2;DYRK2;UBE2D3;PTPRG;PPP6C;PPP3CA;PPP3CB;SERP1;RB1CC1;AKT3;PDK4;JAK2;PRKG1;JAK1;MAP3K5;DSP;ACVR1;MORC3;PPP1R12A;PPTC7;CHUK;FBXW11;PRKCE;DYRK1A;ADAM10;IRAK3;PPP4R3B;PPP2R5C;CTTNBP2NL;TGFBR2;LATS1;PPM1A;PPM1B;CREB1;FAM20B;ROCK1;ROCK2;PPM1E;MTM1;PPP2CB;PPP3R1;NUAK1;GRK3;STK38L;MAPK1;PAK2;ARFGEF1;ATE1;USP25;RHBDD1;HIPK1;BMX;HIPK3;PTPRB;PDP2;STK24;TAF5;BMPR1A
Positive Regulation Of DNA-templated Transcription (GO:0045893)	85/1243	2.6344211627736936E-8	4.039884853113459E-5	0	0	2.031810355299921	35.45918938702289	BMPR2;KDM1B;RORA;NUCKS1;RSF1;YY1;ZXDA;PPP3CA;FGF7;PPP3CB;MED13;EPC2;TEAD1;RNF111;TP63;MAP3K5;ACVR1;ACTR2;NCOA2;MYOCD;PPP1R12A;CHUK;ATMIN;RIPK2;FBXW11;ZNF281;WNT5A;MRTFB;TET2;DYRK1A;MSL2;RGMB;SIRT1;RUNX2;DCN;PPM1A;ELF1;CREB1;WAC;TFAM;PHIP;PGR;ITGA6;NCOA7;ATF6;TLR4;GTF2A1;HDAC2;CTBP2;TNKS;DDX21;CREBL2;FOXO3;PRDM10;FOXO1;NPAT;PPP3R1;BCLAF1;ATXN7;NRIP1;BPTF;AKIRIN2;DR1;BCL11B;NFYA;PCGF5;NR1D2;NR2F2;IGF1;INHBA;KLF4;SMARCA2;FLI1;PBX1;TBX3;BMP6;SETX;RYBP;FUBP3;ASXL2;REL;CREBRF;ERCC6;TAF5;BMPR1A
Phosphorylation (GO:0016310)	40/429	8.476824641069048E-8	6.502212415857851E-5	0	0	2.7762025074380956	45.20586271037232	GSK3B;BMPR2;PANK3;DYRK2;ROCK1;ROCK2;PIK3CB;NUAK1;PPP3CB;GRK3;GNPTAB;RB1CC1;AKT3;PDK4;STK38L;MAPK1;JAK2;PAK2;PRKG1;JAK1;MAP3K5;ACVR1;MORC3;CHUK;PRKCE;DYRK1A;ADAM10;IRAK3;HIPK1;BMX;HIPK3;TGFBR2;LATS1;CREB1;STK24;PIK3CA;FAM20B;TOP1;TAF5;BMPR1A
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	68/938	8.480224865807434E-8	6.502212415857851E-5	0	0	2.142261507100399	34.88232367640231	BMPR2;KDM1B;RORA;NUCKS1;YY1;PPP3CA;PPP3CB;MED13;PWWP2A;TEAD1;TP63;ACVR1;ACTR2;NCOA2;MYOCD;PPP1R12A;CHUK;ATMIN;RIPK2;WNT5A;MRTFB;TET2;SIRT1;RUNX2;DCN;ELF1;CREB1;PHIP;PGR;ITGA6;NCOA7;ATF6;TLR4;GTF2A1;HDAC2;CTBP2;TNKS;DDX21;FOXO3;PRDM10;FOXO1;NPAT;PPP3R1;BCLAF1;NRIP1;BPTF;AKIRIN2;DR1;BCL11B;NFYA;PCGF5;NR1D2;NR2F2;IGF1;INHBA;KLF4;SMARCA2;PBX1;TBX3;BMP6;SETX;FUBP3;ASXL2;REL;CREBRF;ERCC6;TAF5;BMPR1A
Protein Dephosphorylation (GO:0006470)	19/124	1.45146853796491E-7	8.903308011876759E-5	0	0	4.814338624338625	75.80426424051372	PPP1R15B;PPP1R12A;PPTC7;FBXW11;PPP4R3B;PPP2R5C;PPM1E;MTM1;PTPRG;CTTNBP2NL;PPP3CA;PPP6C;PPM1A;PPP2CB;PPP3R1;PTPRB;PPP3CB;PPM1B;PDP2
Protein Phosphorylation (GO:0006468)	43/500	2.6975649950460416E-7	1.2722132404154347E-4	0	0	2.542103674639704	38.45121484047373	GSK3B;BMPR2;DYRK2;ROCK1;CAB39;MAST4;TNKS;FLT3;ROCK2;NUAK1;PPP3CB;GRK3;RB1CC1;AKT3;PDK4;STK38L;MAPK1;JAK2;PAK2;PRKG1;JAK1;MAP3K5;ACVR1;MORC3;CHUK;PRKCE;DYRK1A;ADAM10;IRAK3;HIPK1;BMX;HIPK3;TGFBR2;LATS1;CREB1;ABI2;STK24;FAM20B;TOP1;TAF5;TEK;TLR4;BMPR1A
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	35/367	3.19664926673188E-7	1.2722132404154347E-4	0	0	2.8345555517524645	42.39359155553958	GSK3B;UBXN2B;KLHL15;UBE2D3;RHOBTB3;UBE2D1;FBXO21;RMND5A;CHMP1B;RNF217;UBXN7;ARIH1;RNF111;ATE1;ZRANB1;FBXW11;FEM1B;RC3H1;WWP1;VPS37A;PPP2R5C;SIRT1;RAD23B;MIB1;KLHL20;RNF168;UBE2W;GID4;APPBP2;APC;PELI1;RLIM;SPOPL;TRIP12;FBXL4
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	46/557	3.318456447122099E-7	1.2722132404154347E-4	0	0	2.435594412111046	36.33564881474022	HDAC2;RORA;CREBL2;RSF1;FOXO3;FOXO1;YY1;ZXDA;NPAT;FGF7;PPP3CB;MED13;ATXN7;EPC2;TEAD1;RNF111;TP63;MAP3K5;ACVR1;MYOCD;CHUK;ATMIN;NFYA;FBXW11;ZNF281;WNT5A;DYRK1A;MSL2;NR1D2;NR2F2;IGF1;INHBA;KLF4;RGMB;SMARCA2;FLI1;RUNX2;PPM1A;ELF1;RYBP;CREB1;FUBP3;WAC;TFAM;PHIP;TAF5
Peptidyl-Serine Phosphorylation (GO:0018105)	21/158	3.871216122296197E-7	1.319224427453604E-4	0	0	4.082752170465405	60.2799044501639	GSK3B;MORC3;DYRK2;MAST4;CHUK;CAB39;ROCK1;TNKS;ROCK2;PRKCE;DYRK1A;HIPK1;HIPK3;TGFBR2;LATS1;PIKFYVE;AKT3;STK38L;MAPK1;TOP1;PAK2
Proteasomal Protein Catabolic Process (GO:0010498)	25/220	6.539714525022006E-7	2.0057304448242494E-4	0	0	3.4234719528837174	48.75093261958608	GSK3B;UBXN2B;UBE2D3;SEL1L;RHOBTB3;RMND5A;RNF139;UBXN7;ATE1;FBXW11;FEM1B;RHBDD1;WWP1;PPP2R5C;SIRT1;RAD23B;KLHL20;UBE2W;GID4;APPBP2;APC;PELI1;SPOPL;TRIP12;ATF6
Protein Ubiquitination (GO:0016567)	38/434	8.637708105470862E-7	2.4083500690435576E-4	0	0	2.5824219369155177	36.05566757415371	MARCHF1;TNKS;PELI2;UBE2D3;MYCBP2;UBE2D1;UBE3A;SH3RF1;UBE2J1;VCPIP1;CAND1;RMND5A;RNF139;TNKS2;RNF217;ARIH1;RNF111;SASH1;PCMTD1;MARCHF5;FBXW11;MSL2;RC3H1;WWP1;KLHL2;LNPEP;KLHL24;SIRT1;MIB1;KLHL20;RNF168;KLHL9;UBE2W;RLIM;TRIP12;TRIM55;TRIM33;OBI1
Positive Regulation Of Protein Phosphorylation (GO:0001934)	34/377	1.683724813691818E-6	4.303320002994005E-4	0	0	2.659934247255133	35.36250135033052	BCAR3;BMPR2;RALB;CAB39;ROCK2;PELI2;CREBL2;FXR1;GHR;FGF7;RB1CC1;LEPR;NPTN;MAPK1;JAK2;PAK2;MAP3K5;ACVR1;PRNP;XRCC5;MMD;RIPK2;IGF1;INHBA;SIRT1;BMP6;TGFBR2;LATS1;MOB1A;RAD50;TAB2;TEK;CACUL1;BMPR1A
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	115/2028	1.8771163511292472E-6	4.428550653010309E-4	0	0	1.6712741431769136	22.037042833895924	KDM1B;ZNF292;UBE2D3;UBE2D1;JMJD1C;ARID4A;RORA;NUCKS1;IKZF5;YY1;ZXDA;ZXDB;BBX;EPC2;TP63;ACVR1;MORC3;ZNF281;WNT5A;MRTFB;ARID5B;ZBTB34;RUNX2;FOXP1;PIAS1;PRKAR1A;PHIP;PGR;ATF6;CTBP2;TNKS;FOXO3;PRDM10;FOXO1;MTDH;NPAT;PPP3R1;ATXN7;HIVEP2;ZNF148;BPTF;AKIRIN2;DR1;BCL11B;ZBTB10;IRF2BP2;NR1D2;NR2F2;IGF1;INHBA;SMARCA2;FLI1;PBX1;BMP6;SETX;FUBP3;JMY;REL;CREBRF;CPEB3;BRWD1;BMPR1A;BMPR2;BMI1;PPP3CA;NIPBL;PPP3CB;MED13;TRPS1;TEAD1;ZNF641;KLF11;ACTR2;NCOA2;MYOCD;PPP1R12A;CHUK;ATMIN;RIPK2;TET2;ZFP91;ETV3;SIRT1;DCN;PHF20L1;PPM1A;ELF1;CREB1;AEBP2;ITGA6;NCOA7;SOS1;TLR4;KDM7A;VGLL3;GTF2A1;HDAC2;SATB1;DDX21;PURB;BCLAF1;DNAJB4;NRIP1;HDX;NFYA;PCGF5;KLF4;KLF3;TBX3;ASXL2;KLF9;ERCC6;TAF5;ZNF697;TRIM33
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	30/319	2.9417107371614314E-6	6.191498829381601E-4	0	0	2.777731685057662	35.37863311266555	GSK3B;UBXN2B;KLHL15;UBE2D3;SEL1L;RHOBTB3;UBE2J1;RMND5A;UBQLN1;UBXN7;MAN1A1;UBQLN2;AKIRIN2;FBXW11;FEM1B;WWP1;PPP2R5C;SIRT1;RAD23B;KLHL20;UBE2W;GID4;APPBP2;NEMF;APC;PELI1;SPOPL;TRIP12;FBXL4;FAM8A1
Peptidyl-Serine Modification (GO:0018209)	20/166	3.4552204906546595E-6	6.191498829381601E-4	0	0	3.6418541734143695	45.798589785384756	GSK3B;MORC3;DYRK2;MAST4;CHUK;CAB39;ROCK1;TNKS;ROCK2;PRKCE;DYRK1A;HIPK1;HIPK3;TGFBR2;LATS1;AKT3;STK38L;MAPK1;TOP1;PAK2
Regulation Of Autophagy (GO:0010506)	25/241	3.4961323668935217E-6	6.191498829381601E-4	0	0	3.0872302624753605	38.787507931208665	ATP6V1A;GSK3B;ROCK1;USP10;MTMR9;VPS26A;PIK3CB;FOXO3;PIK3C2A;FOXO1;MTDH;RB1CC1;LEPR;UBQLN1;STK38L;VPS35;ATP6V1C1;UBQLN2;EXOC8;DCN;CCNY;WAC;TAB2;ATF6;EIF4G2
Protein Polyubiquitination (GO:0000209)	24/226	3.632750130105756E-6	6.191498829381601E-4	0	0	3.167042858131967	39.66886051289045	MARCHF1;FBXW11;TNKS;MYCBP2;PELI2;UBE2D3;RC3H1;UBE2D1;ZFP91;LNPEP;UBE3A;NT5C2;UBE2J1;KLHL20;RNF168;UBE2W;RMND5A;TNKS2;RNF217;PELI1;TRIP12;ARIH1;SASH1;MARCHF5
