Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Membrane-Bounded Organelle (GO:0043231)	265/5175	6.351203582107269E-10	1.72117617075107E-7	0	0	1.6340607732432735	34.60484258295274	PANK3;CCNJ;CCNI;PANK1;ZNF292;HNRNPR;PHAX;SMC3;IKZF5;ZXDA;CNST;ZXDB;BBX;CYP1B1;PWWP2A;CCN2;RNF111;TP63;AGFG1;MBNL1;TSPYL1;ZNF281;PRKCE;MRTFB;RUNX2;CCNY;TFAM;HECA;ATF6;TSPYL4;CTBP2;MYCBP2;PRDM10;MTDH;UBE2J1;FXR1;NUAK1;VTI1A;MCMBP;HIVEP2;RAB11FIP2;ZRANB1;BCL11B;XRCC4;XRCC5;ABCA9;TMEM192;IRF2BP2;NR1D2;NR2F2;STAM;PHC3;SMARCA2;FLI1;PBX1;WAPL;SETX;FUBP3;REL;CREBRF;INTS6;CPEB3;PHF3;FMN1;RSF1;IDE;BMI1;NIPBL;MAP1LC3B;MED13;ADAMTSL3;ANXA7;UBXN7;ARIH1;JAK2;TEAD1;SLC18A2;APPL1;JAK1;UPF2;TIGD2;NCOA2;CNOT6L;ATMIN;NCOA4;TET2;ASH1L;SIRT1;RNF168;UGDH;AFTPH;WAC;NCOA7;PABPC1;RGS7BP;VGLL3;TRUB1;STX12;MARCHF1;SGMS1;SATB1;PURB;BCLAF1;SNX25;TLDC2;SHOC2;PAK2;RANBP2;MBD5;NFYA;PCGF5;UTP3;YIPF4;YIPF5;HIPK1;HIPK3;NUDT21;SEC23IP;RYBP;AXL;CCNG2;NBR1;RLIM;TRIP12;UBXN2B;IRS1;KDM1B;NAB1;UBE2D3;UBE2D1;ARID4A;RORA;NUCKS1;HAPSTR1;YY1;PAPOLG;SNIP1;MTPAP;PHLDA1;KPNA1;MORC3;FBXW11;IPMK;DYRK1A;ADAM10;ARID5B;WBP11;RSBN1;FOXP1;PIAS1;PKP2;WDFY1;PHIP;PGR;MATR3;ANKRD17;NOTCH2;ATP6V1A;DDX6;PARM1;TNKS;KLHL15;CREBL2;FOXO3;FOXO1;TOR1AIP1;NPAT;SBNO1;VCPIP1;BAG4;ATXN7;SKIL;PIBF1;BPTF;OSBPL8;AKIRIN2;PRNP;HSPA4;ZBTB10;BTBD7;FOXN3;HOOK3;BLTP1;MOB1A;UBE2W;CNOT6;STK24;APPBP2;JMY;CNOT8;SLC49A4;BRWD1;GSK3B;DYRK2;USP38;CALCOCO2;CELF2;USP34;PIK3CB;ZC3H6;PIK3C2A;METTL14;TRPS1;TOPBP1;DSP;USP46;KLF11;ACTR2;USP47;NAA30;MYOCD;DIS3;MSL2;ZFP91;VPS37A;IRAK3;PPP2R5C;ETV3;RAD23B;LATS1;PPM1A;PPM1B;ELF1;CREB1;SPOPL;ETF1;TOP1;ZMYND11;KDM7A;RBMS3;GTF2A1;HDAC2;USP10;CSTF2T;ABRAXAS2;MAT2B;CLCN3;TOB1;GNA13;CAND1;RMND5A;TAF1B;TNKS2;FAM120A;NRIP1;S1PR1;BNIP2;MAPK1;SMNDC1;ATE1;USP25;ARFGEF2;FEM1B;MAP1LC3B2;TBX3;RAD50;GOLPH3;APC;ERCC4;KLF9;PDCD4;FAM98A;ERCC6;TAF5;TRIM33
Nucleus (GO:0005634)	229/4487	2.7044770130178973E-8	3.6645663526392506E-6	0	0	1.5821139446854364	27.569557180593918	PANK3;CCNJ;CCNI;PANK1;ZNF292;HNRNPR;PHAX;SMC3;IKZF5;ZXDA;ZXDB;BBX;PWWP2A;RNF111;TP63;MBNL1;TSPYL1;ZNF281;MRTFB;RUNX2;CCNY;TFAM;HECA;ATF6;TSPYL4;CTBP2;MYCBP2;PRDM10;MTDH;UBE2J1;FXR1;NUAK1;MCMBP;HIVEP2;ZRANB1;BCL11B;XRCC4;XRCC5;TMEM192;IRF2BP2;NR1D2;NR2F2;PHC3;SMARCA2;FLI1;PBX1;WAPL;SETX;FUBP3;REL;CREBRF;INTS6;CPEB3;PHF3;FMN1;RSF1;IDE;BMI1;NIPBL;MED13;ANXA7;UBXN7;ARIH1;JAK2;TEAD1;APPL1;JAK1;UPF2;TIGD2;NCOA2;CNOT6L;ATMIN;NCOA4;TET2;ASH1L;SIRT1;RNF168;UGDH;WAC;NCOA7;PABPC1;RGS7BP;VGLL3;TRUB1;SGMS1;SATB1;PURB;BCLAF1;TLDC2;SHOC2;PAK2;RANBP2;MBD5;NFYA;PCGF5;UTP3;HIPK1;HIPK3;NUDT21;RYBP;CCNG2;RLIM;TRIP12;UBXN2B;IRS1;KDM1B;NAB1;UBE2D3;UBE2D1;ARID4A;RORA;NUCKS1;HAPSTR1;YY1;PAPOLG;SNIP1;PHLDA1;KPNA1;MORC3;FBXW11;IPMK;DYRK1A;ADAM10;ARID5B;WBP11;RSBN1;FOXP1;PIAS1;PKP2;WDFY1;PHIP;PGR;MATR3;ANKRD17;NOTCH2;DDX6;TNKS;KLHL15;CREBL2;FOXO3;FOXO1;TOR1AIP1;NPAT;SBNO1;VCPIP1;BAG4;ATXN7;SKIL;PIBF1;BPTF;AKIRIN2;HSPA4;ZBTB10;BTBD7;NUP153;FOXN3;BLTP1;MOB1A;UBE2W;CNOT6;STK24;APPBP2;JMY;CNOT8;BRWD1;GSK3B;DYRK2;USP38;CALCOCO2;CELF2;USP34;PIK3CB;ZC3H6;METTL14;TRPS1;TOPBP1;DSP;USP46;KLF11;ACTR2;USP47;NAA30;MYOCD;DIS3;MSL2;ZFP91;IRAK3;PPP2R5C;ETV3;RAD23B;LATS1;PPM1A;PPM1B;ELF1;CREB1;SPOPL;ETF1;TOP1;ZMYND11;KDM7A;RBMS3;GTF2A1;HDAC2;USP10;ABRAXAS2;MAT2B;TOB1;GNA13;CAND1;RMND5A;TAF1B;TNKS2;FAM120A;NRIP1;MAPK1;SMNDC1;ATE1;USP25;FEM1B;TBX3;RAD50;APC;ERCC4;KLF9;PDCD4;FAM98A;ERCC6;TAF5;TRIM33
Autophagosome (GO:0005776)	11/83	2.329622642259583E-4	0.017269845956399636	0	0	4.026995573870574	33.6843443915415	MAP1LC3B;CALCOCO2;CHMP1B;NCOA4;JMY;NBR1;UBQLN1;VTI1A;MAP1LC3B2;WDFY3;TBC1D12
trans-Golgi Network (GO:0005802)	21/241	2.549054753712123E-4	0.017269845956399636	0	0	2.5314066852367687	20.946422731505237	ARFGEF1;ARFGEF2;MARCHF1;RIC1;CCDC186;YIPF4;CLTC;YIPF5;RHOBTB3;GCC2;PIK3C2A;ATP2C1;KLHL20;ARL5B;GOLPH3;CNST;VTI1A;STX6;BPNT2;PHIP;ARL5A
Protein Serine/Threonine Phosphatase Complex (GO:0008287)	6/29	5.718917104270927E-4	0.030996530705148427	0	0	6.846669434723293	51.12107430982927	PPP2CB;PPP3CA;PPP3CB;PPP3R1;PPP2R5C;PPP4R3B
ER To Golgi Transport Vesicle Membrane (GO:0012507)	8/55	8.761004456779206E-4	0.036923921979083466	0	0	4.473964548709143	31.496843789940687	GRIA1;SEC23A;SEC24B;SEC24A;CNIH1;SAR1A;VTI1A;CD59
Vesicle Membrane (GO:0012506)	9/69	9.537544422641486E-4	0.036923921979083466	0	0	3.9454109589041098	27.440744795353236	RAB4A;PIKFYVE;APPBP2;SYNJ1;ENTPD7;SLC30A1;CLCN3;RAB11FIP2;APPL1
Transport Vesicle Membrane (GO:0030658)	8/60	0.0015663190424217565	0.053059057562037	0	0	4.042723350520888	26.11205915880526	GRIA1;SEC23A;SEC24B;SEC24A;CNIH1;VTI1A;CD59;SLC18A2
COPII Vesicle Coat (GO:0030127)	4/15	0.0018217799079456173	0.05485581722814025	0	0	9.523809523809524	60.07563127997346	SEC23A;SEC24B;SEC24A;SAR1A
cullin-RING Ubiquitin Ligase Complex (GO:0031461)	15/174	0.0020628694223309052	0.05590376134516754	0	0	2.489054518920046	15.391460250401414	USP47;ZYG11B;FBXW11;FEM1B;KLHL2;KLHL24;KLHL20;KLHL9;CAND1;APPBP2;SPOPL;ZSWIM6;DCAF10;FBXL4;PCMTD1
Cytoskeleton (GO:0005856)	36/599	0.0030137318325876017	0.07290487338462318	0	0	1.7007243758669393	9.871984161211198	DYRK2;ROCK1;WIPF1;ROCK2;USP10;IFIT5;TCHH;SLAIN2;ADD3;EPB41L5;NUAK1;ATXN7;STK38L;MAPK1;STOM;TOPBP1;PDLIM5;ACTR2;PPP1R12A;RIPK2;PRKCE;DYRK1A;KLHL2;KLF4;SMARCA2;CTTNBP2NL;KLHL20;DNAJA1;SESTD1;AXL;CCSER2;FILIP1;PHIP;INTS6;TAF5;PHLDB2
Plasma Membrane Raft (GO:0044853)	9/82	0.003228260076071875	0.07290487338462318	0	0	3.240607993995121	18.5875180994298	BMPR2;IRS1;PRKAR1A;CAVIN2;PRKAR2A;MAPK1;JAK2;TGFBR2;BMPR1A
Coated Vesicle Membrane (GO:0030662)	7/55	0.0039679820247432015	0.08271716374656982	0	0	3.827726548269581	21.1654048372298	GRIA1;SEC23A;SEC24B;SEC24A;CNIH1;VTI1A;CD59
Serine/Threonine Protein Kinase Complex (GO:1902554)	7/60	0.006447219822728934	0.10839278795701099	0	0	3.4657181152696155	17.4814504972313	CCNJ;CCNI;CCNY;CAB39;CCNG2;AZI2;TGFBR2
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	61/1195	0.0065623356414767735	0.10839278795701099	0	0	1.4381792594673617	7.2288767368930165	DYRK2;CLTC;TCHH;ARID4A;HNRNPR;RORA;NUCKS1;PIK3CB;SMC3;TENT4B;CDC14A;SERP1;AKAP11;TOPBP1;PHLDA1;TSPYL1;PPP1R12A;RIPK2;DIS3;DYRK1A;ZFP91;ACSL5;ACSL4;SIRT1;DDX50;RBL2;PPM1B;CCNY;WDFY1;WDFY3;TOP1;KDM7A;ROCK1;ROCK2;DDX21;SPTY2D1;ADD3;PPM1E;FXR1;EPB41L5;TAF1B;NRIP1;STOM;EIF4EBP2;BNIP2;MAPK1;ARFGEF1;MBD5;UTP3;XRCC5;NUP153;WAPL;CYLD;STK24;ERCC4;CAPRIN1;RAB18;FILIP1;ERCC6;TAF5;BRWD1
COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	8/76	0.006902523106968641	0.10839278795701099	0	0	3.0889192886456907	15.370055466282938	GRIA1;SEC23A;SEC24B;SEC23IP;SEC24A;CNIH1;VTI1A;CD59
Caveola (GO:0005901)	7/62	0.007707860869467754	0.10839278795701099	0	0	3.339344262295082	16.247628191627875	BMPR2;IRS1;CAVIN2;MAPK1;JAK2;TGFBR2;BMPR1A
Clathrin-Coated Vesicle (GO:0030136)	8/78	0.008051488117259543	0.10839278795701099	0	0	3.0003517686144225	14.467391228547243	SNX18;CLTC;FCHO2;NUMB;STX6;VTI1A;PIK3C2A;RAB8B
Endosome Membrane (GO:0010008)	23/361	0.008246899479536059	0.10839278795701099	0	0	1.7984074906614658	8.628611616712384	GRIA1;RAB4A;MARCHF1;TMEM30A;FLT3;CLTC;VPS26A;VPS37A;CLCN3;ANTXR1;RHOBTB1;SNX18;ACAP2;PIKFYVE;SNX2;CHMP1B;MRC1;VTI1A;VPS35;TAB2;TLR4;APPL1;RAB8B
Coated Vesicle (GO:0030135)	8/79	0.008677056609385605	0.10839278795701099	0	0	2.9579391533881814	14.041552818912256	SEC23IP;SNX18;CLTC;FCHO2;NUMB;STX6;VTI1A;PIK3C2A
Cul3-RING Ubiquitin Ligase Complex (GO:0031463)	5/35	0.008799414520495357	0.10839278795701099	0	0	4.366712079927339	20.667954343578835	KLHL9;KLHL2;SPOPL;KLHL24;KLHL20
Autophagosome Membrane (GO:0000421)	5/35	0.008799414520495357	0.10839278795701099	0	0	4.366712079927339	20.667954343578835	MAP1LC3B;CHMP1B;JMY;MAP1LC3B2;WDFY3
Late Endosome (GO:0005770)	15/205	0.009371998815751159	0.11042659474211147	0	0	2.079565280604827	9.711629928037372	MARCHF1;PARM1;TMEM30A;EXOC8;TMEM192;CLCN3;MTM1;PIKFYVE;AP5M1;CHMP1B;DENND10;NBR1;VTI1A;MAPK1;VPS35
Cytoplasmic Vesicle Membrane (GO:0030659)	24/389	0.010271190899775953	0.11597886390997013	0	0	1.7377296675926812	7.956042888841892	GRIA1;RAB4A;FLT3;WNT5A;ENTPD7;VPS26A;VPS37A;SLC30A1;CLCN3;ANTXR1;RHOBTB1;ACAP2;PIKFYVE;SNX2;APPBP2;CHMP1B;MRC1;RAB18;VPS35;TAB2;RAB11FIP2;TLR4;SLC18A2;APPL1
mRNA Cleavage And Polyadenylation Specificity Factor Complex (GO:0005847)	3/13	0.010888829803120071	0.11803491506582157	0	0	7.846875	35.468014705029454	NUDT21;CPSF2;CSTF2T
Postsynaptic Recycling Endosome (GO:0098837)	2/5	0.012657558855277829	0.1319307096069343	0	0	17.42017186793306	76.11745324590318	STX12;RAB4A
Endoplasmic Reticulum Tubular Network (GO:0071782)	4/26	0.014467847884530071	0.14521432506324627	0	0	4.759183673469388	20.159076221900598	ASPH;REEP3;RAB18;PARP8
B-WICH Complex (GO:0110016)	2/6	0.01852426280674422	0.17310604209060979	0	0	13.064450474898235	52.109832667563026	DDX21;ERCC6
X Chromosome (GO:0000805)	2/6	0.01852426280674422	0.17310604209060979	0	0	13.064450474898235	52.109832667563026	SMCHD1;PCGF5
Cytoplasmic Stress Granule (GO:0010494)	7/76	0.02208638279061545	0.1854287095203282	0	0	2.659855864417518	10.141482543716286	FXR1;DDX6;MBNL1;ROCK1;CAPRIN1;RC3H1;PABPC1
Endoplasmic Reticulum Membrane (GO:0005789)	41/801	0.02235492933735404	0.1854287095203282	0	0	1.4299144171316545	5.434687779704966	NOTCH2;GRIA1;SEC23A;SAMD8;MARCHF1;MCTP1;SEL1L;ATP2A2;FMN1;MTDH;UBE2J1;PLN;SERP1;RNF139;RB1CC1;VTI1A;CYP1B1;ANXA7;SARAF;CD59;CERT1;PDZD8;MARCHF5;SEC24B;SEC24A;CERS6;ELOVL4;MMGT1;RHBDD1;ACSL5;ACSL4;ELOVL7;KTN1;DNAJA1;CNIH1;ASPH;REEP3;RAB18;PIGM;SERINC1;ATF6
