StrippedCellLineName,Cancer_Type,mean_zscore,OXPHOS_state,EFR3A,MRPL58,EP300,ITGAV,TAFAZZIN,DNM1L,COQ4,NDUFC2,MICOS10,RAB6A,MYH9,TIPARP,CFLAR,SPTSSA,NDUFS1,SNAP23,RRAGC,ARHGEF7,CDK6,TRAF2,NCKAP1,STAMBP,COASY,ZFP36L1,ENO1,NDUFB8,FERMT2,APC,ARID1A,BRAF,CREBBP,FAT1,KMT2D,KRAS,NF1,PIK3CA,PTEN,TP53
170MGBA,DiffuseGlioma,0.0948861898659028,0,0.416691641610238,0.4433327780539,0.0680959318888676,0.875668170979699,0.176431383385037,0.646184706557791,0.141253955801382,0.194507430427662,0.537906901105709,0.0936701209086746,0.444261709587482,0.679061094210785,0.691694623403845,0.489424248533099,0.0700291604666915,0.0500188370862089,0.09195413461926,0.0212428775615967,0.995781413255954,0.0134471120321822,0.75849460271344,0.552620444100567,0.026993674608102,0.559784300407136,0.944231171713821,0.0995583635343872,0.992160792421646,0,0,0,0,0,0,1,0,0,0,1
42MGBA,DiffuseGlioma,0.0118745806464928,0,0.637169722682316,0.465304207510545,0.995110654928517,0.881788737262332,0.137529194808512,0.887110884058275,0.827001951407644,0.32893234554659,0.278820751709584,0.276229141303876,0.554167690383973,0.128555902644655,0.0607682370913512,0.1603471764299,0.0867582218745749,0.175306578366481,0.498711769273147,0.0688534225697198,0.954408995180467,0.164912412167635,0.911600196040976,0.0203319008463809,0.063670576961688,0.510388943276059,0.74499320124179,0.202124609184708,0.903764989451241,0,0,0,0,0,0,0,0,0,0,1
59M,OvarianEpithelialTumor,-0.151957433727238,OXPHOS_low,0.694451633067906,0.289263858281707,0.001708041213082,0.869908192081142,0.13809680053902,0.464372086420377,0.20710099382863,0.136191726491827,0.270074104196286,0.947645428882356,0.625720120142564,0.721132093522759,0.709690173049266,0.551942362922769,0.0704431735110681,0.0698888667350353,0.197621934640122,0.012785614656462,0.459433300555498,0.547426904207202,0.466013525041982,0.125235660934088,0.227958491998363,0.252451258476455,0.683774905004698,0.0859992869284109,0.979194860692252,0,0,0,0,0,0,0,0,0,0,1
769P,RenalCellCarcinoma,0.366429468226983,OXPHOS_high,0.0151888321618611,0.19374567820887,0.510089417238699,0.894590707468061,0.923808239227888,0.897229371564718,0.354741971821317,0.255126527651364,0.621983880612045,0.928551494726944,0.0975173583993912,0.325870555294706,1,0.87946703508435,0.0947094479925401,0.991923188916462,0.0682969905276414,0.77895872480027,0.825017373277222,0.0233406834246276,0.663340251648169,0.919038438956203,0.561901226139359,0.544925875014967,0.0323309233077974,0.0979668601650738,0.993386921359387,0,0,0,0,0,0,0,0,0,0,0
786O,RenalCellCarcinoma,-0.155507768831665,OXPHOS_low,0.690296513943983,0.169177473323795,0.0874222962969204,0.973783452758035,0.153412653743873,0.77303087459818,0.629653048221078,0.145963078728606,0.250812911792321,0.878534639779964,0.581170120006947,0.673320403087682,1,0.967870991188163,0.0302938783441242,0.385196977665559,0.836251607381353,0.0147712978446091,0.926877566272543,0.0425273004457192,0.597187501372991,0.955610842355817,0.738752469779873,0.451929959292641,0.846761551641811,0.0934562272945016,0.991066383928037,0,0,0,0,0,0,0,0,0,1,1
8MGBA,DiffuseGlioma,0.0679813210546703,0,0.650081955868548,0.509912801387318,0.105202911003953,0.973868078083395,0.29771176701084,0.969838848098116,0.654499149704616,0.574396938417555,0.150407431868674,0.127313606772642,0.783092134840455,0.18851834696224,0.932895167796029,0.569312586028546,0.120532746492928,0.317138047829897,0.0253850071370334,0.0248010229855947,0.016723577473163,0.90111564204817,0.552543067951099,0.242988840661296,0.36089301363937,0.52996321083366,0.538698214213085,0.345243245702977,0.750982045475925,0,0,0,0,0,0,0,0,0,0,1
9505BIK,PancreaticAdenocarcinoma,0.142787044245199,0,0.924513294281613,0.769272315245894,0.0166028183346287,0.258151741945432,0.903715299865609,0.977165767590967,0.494946173006435,0.405001979573816,0.204862861538912,0.95467386717868,0.990741257191268,0.562014785422598,0.858924128559725,0.251545767700822,0.0954411667266216,0.999933359545535,0.926410383224538,0.878811813579626,0.969254457717264,0.41970901972182,0.951478180309877,0.235519592629669,0.246349780092707,0.567883530791198,0.9518975376504,0.227521838109738,0.241963063791112,0,0,0,0,0,0,1,0,0,0,1
A172,DiffuseGlioma,-0.0150718955905639,0,0.0645784497221307,0.546990770781792,0.354257555085333,0.958835694677394,0.274381164081324,0.652979198537666,0.938165801118223,0.833991446581719,0.209643645188022,0.880420598249713,0.953501406056102,0.0051786353176768,0.973240275277092,0.031736935779914,0.589262996272192,0.745381857172527,0.0109639950377601,0.0965445400092146,0.964382107503661,0.230862390822685,0.968314754520625,0.145326039599876,0.525247577898929,0.826590369155943,0.290750964133426,0.114857888120177,0.969939364608668,0,0,0,0,0,0,0,0,0,0,0
A2058,Melanoma,0.263351989226373,OXPHOS_high,0.109988606399117,0.915669991873216,0.0032534991641339,0.895779464168772,0.108159376282676,0.396811503853636,0.413637771630074,0.499204437153961,0.419888112623292,0.0148317398794206,0.382568183591531,0.0421067994399345,0.12315726492113,0.40944617734065,0.430305689025993,0.783846049059379,0.157089306261344,0.625533943322839,0.061859344004031,0.231571541318002,0.726412000704482,0.541059345515367,0.512767836986702,0.0661801053943732,0.923959757252584,0.375564907104109,0.998759090717509,0,0,1,0,0,0,0,0,0,1,1
A253,HeadandNeckSquamousCellCarcinoma,0.0904163166764416,0,0.325436101879817,0.562409846636858,0.0397803212389238,0.0404057303044012,0.695209938091311,0.222425279835587,0.464326456507789,0.456640170278696,0.0914090103833362,0.963550354255695,0.255822096487199,0.944766301390469,0.481755807187425,0.21658573436841,0.202704384538956,0.992373628981345,0.218182511211111,0.377897109945121,0.262615828916299,0.496686236338753,0.836685788452765,0.143590152521816,0.320791198406589,0.738853706857598,0.488057173627838,0.549050199694305,0.0803323679383881,0,0,0,0,0,1,0,0,0,0,1
