Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
ACVR1	2q24.1	0.622979552093476	8.742380064782741e-10	0.000016342131055098377
ATAD1	10q23.31	0.6115628042843231	2.1376859715198674e-9	0.000019979881932810442
CCDC6	10q21.2	0.5968354430379746	6.435483406867804e-9	0.00004009949710819329
SLK	10q24.33-q25.1	0.5876095423563776	1.2483424388152388e-8	0.00005833816302193315
HECA	6q24.1	0.5840068159688412	1.6079746726475265e-8	0.00006011574111160042
CATSPERG	19q13.2	-0.5742697176241478	3.139414554922056e-8	0.00009780846045859666
CRYGS	3q27.3	-0.5715676728334954	3.765466692539208e-8	0.00010055409840519346
NCOA4	10q11.22	0.5690360272638753	4.458281880845314e-8	0.00010417332899830182
TM9SF3	10q24.1	0.5669912366114898	5.104609174881277e-8	0.00010549841255808627
PET100	19p13.2	-0.5633154819863679	6.49618098790882e-8	0.00010549841255808627
CENATAC	11q23.3	-0.5613193768257059	7.395756699925163e-8	0.00010549841255808627
POP5	12q24.31	-0.5608081791626095	7.644475530927169e-8	0.00010549841255808627
TNNC2	20q13.12	-0.5599659191187342	8.07166711339689e-8	0.00010549841255808627
DDX21	10q22.1	0.5595423563777994	8.29496428393698e-8	0.00010549841255808627
SHOC2	10q25.2	0.5592259006815968	8.46560845434812e-8	0.00010549841255808627
SAR1A	10q22.1	0.554113924050633	1.1728750363723503e-7	0.00013702845659317714
FOXO3	6q21	0.5522395326192794	1.320012976124046e-7	0.0001451470738981576
CNOT6L	4q21.1	0.5492453748782864	1.5919085558583206e-7	0.0001653197035258866
WAPL	10q23.2	0.5470058422590067	1.8291143257248616e-7	0.00017995596889881495
PAPSS2	10q23.2-q23.31	0.5427702044790654	2.3721134337439798e-7	0.00022170958208488108
ARID5B	10q21.2	0.5409931840311585	2.6426475603740223e-7	0.00023523338498129332
SAPCD1	6p21.33	-0.5392405063291139	2.9378993545986315e-7	0.00024962796652505556
TIMM10	11q12.1	-0.538315481986368	3.1060506865507247e-7	0.00025244089340735953
MINPP1	10q23.2	0.5368792599805254	3.3852854446207856e-7	0.0002587091489613496
RBMS3	3p24.1	0.5365141187925998	3.45997363934828e-7	0.0002587091489613496
CCDC107	9p13.3	-0.5335929892891917	4.1161602719198194e-7	0.00029338731585021587
TENT4B	16q12.1	0.5322784810126585	4.4483623917201584e-7	0.00029338731585021587
ALKBH3	11p11.2	-0.5319863680623176	4.5255509051771755e-7	0.00029338731585021587
CCDC186	10q25.3	0.5318889970788705	4.551560562593623e-7	0.00029338731585021587
COX6B1	19q13.12	-0.5268257059396297	6.116660941151405e-7	0.00038112914324314403
TNKS2	10q23.32	0.5246348588120741	6.940795320411438e-7	0.0004185299578208097
SLC27A5	19q13.43	-0.5234817641392222	7.415618110023216e-7	0.0004331879666583249
DSP	6p24.3	0.5203748782862709	8.852249152545581e-7	0.0004996171801071215
NENF	1q32.3	-0.5199123661148977	9.087350411192496e-7	0.0004996171801071215
PSENEN	19q13.12	-0.5179892891918209	0.0000010129534641261715	0.000541003974426015
MRPS21	1q21.2	-0.5155793573515094	0.0000011595039248183627	0.0006020724129619348
CACUL1	10q26.11	0.514873417721519	0.0000012060823696431554	0.0006093323712362028
PTGFR	1p31.1	0.5138663210070877	0.000001275593331713209	0.0006269872463966738
BANF1	11q13.1	-0.513412852969815	0.0000013081101272920494	0.0006269872463966738
MSH5	6p21.33	-0.5119522882181109	0.000001418234909147467	0.0006627766289173401
ZNF697	1p12	0.5094693281402142	0.000001625743612126544	0.0007323050874793616
NR2C2AP	19p13.11	-0.5092502434274587	0.000001645365306485486	0.0007323050874793616
PFDN6	6p21.32	-0.5073028237585198	0.0000018298566768184983	0.0007954769967387951
NAF1	4q32.2	0.5066699123661147	0.00000189389581980579	0.0008046044218097643
RDH16	12q13.3	-0.5059152872444012	0.000001973008029104071	0.000819587535289831
ZNF691	1p34.2	-0.505014605647517	0.000002071504821325795	0.0008417965135878933
DNAJB4	1p31.1	0.5032862706913341	0.0000022736104552312883	0.0009042680902050739
AFF4	5q31.1	0.50238558909445	0.000002386150102602307	0.000929256330582186
CEP68	2p14	0.5004868549172344	0.0000026407913434108277	0.0009742193515208963
UBL5	19p13.2	-0.5004625121713728	0.0000026442160754964604	0.0009742193515208963
EIF3A	10q26.11	0.500365141187926	0.000002657956824884487	0.0009742193515208963
PRKRIP1	7q22.1	-0.49895326192794526	0.0000028648996913372713	0.0010298763448109156
CRIP3	6p21.1	-0.4976960882341598	0.000003061829690265971	0.0010727142328496124
ARHGEF39	9p13.3	-0.49746835443037984	0.0000030988374564745665	0.0010727142328496124
CTBP2	10q26.13	0.49612950340798445	0.000003325051713330895	0.0011300943941326257
RNF111	15q22.1-q22.2	0.4935491723466406	0.0000038054745769209907	0.0012702810047568584
PIK3CA	3q26.32	0.49190584011264415	0.000004144653285945494	0.0013592281381434933
OMD	9q22.31	0.49011684518013643	0.000004546075093800241	0.0014651686504897916
IPMK	10q21.1	0.4897030185004868	0.0000046439922409250495	0.0014713584230442703
UBE2D1	10q21.1	0.487877312560857	0.000005100094709290937	0.0015552750711807259
MEA1	6p21.1	-0.48785296981499476	0.000005106450820561759	0.0015552750711807259
VPS26A	10q22.1	0.48756085686465434	0.000005183306311317995	0.0015552750711807259
JAK1	1p31.3	0.4873417721518987	0.000005241658882169033	0.0015552750711807259
PPTC7	12q24.11	0.4866845180136316	0.000005420437091558427	0.0015831911023828386
TTC21A	3p22.2	-0.48622200584225883	0.000005549656593073067	0.0015959958568356127
EIF4EBP2	10q22.1	0.48534566699123644	0.000005802456917514287	0.0016129100559721318
CCNI	4q21.1	0.48529698149951317	0.00000581681337302957	0.0016129100559721318
BMPR2	2q33.1-q33.2	0.4851265822784808	0.000005867323800679664	0.0016129100559721318
SULT1A3	16p11.2	-0.4832521908471276	0.000006450773659844379	0.0017475987249778403
MARCHF5	10q23.32-q23.33	0.4826923076923077	0.000006635335755251439	0.0017719190181845021
DHRS13	17q11.2	-0.4802093476144109	0.000007515104693821842	0.0019785894653748123
PRICKLE4	6p21.1	-0.4780428432327169	0.000008370908117150469	0.0021333069136697854
UBQLN2	Xp11.21	0.4779211295034079	0.000008421597169673831	0.0021333069136697854
TRAIP	3p21.31	-0.47782375851996106	0.000008462355279309188	0.0021333069136697854
PSRC1	1p13.3	-0.47738558909444984	0.000008648063931703172	0.0021333069136697854
ASXL2	2p23.3	0.47716650438169433	0.000008742343239551409	0.0021333069136697854
OGN	9q22.31	0.4768987341772154	0.000008858880832135062	0.0021333069136697854
LYG1	2q11.2	-0.4768013631937681	0.00000890161767860928	0.0021333069136697854
SNX18	5q11.2	0.4757546251217139	0.000009373397138400936	0.002217935603900363
NPRL2	3p21.31	-0.47468354430379744	0.000009880311130429067	0.002308658199513882
KDM1B	6p22.3	0.47436708860759474	0.000010034923071914883	0.0023122980397455215
CCDC68	18q21.2	0.4741480038948394	0.000010143285682294589	0.0023122980397455215
FGD6	12q22	0.4735637779941576	0.000010437631772677383	0.0023134358276267796
EXOC8	1q42.2	0.4735637779941577	0.000010437631772677383	0.0023134358276267796
FMN1	15q13.3	0.47307692307692323	0.000010689007307192244	0.0023134358276267796
C7	5p13.1	0.47297955209347625	0.000010739957511121938	0.0023134358276267796
SEC23IP	10q26.11-q26.12	0.47290652385589105	0.000010778319217277104	0.0023134358276267796
YME1L1	10p12.1	0.47239532619279456	0.000011050463067727481	0.0023134358276267796
NAA30	14q22.3	0.47212755598831546	0.000011195567722609741	0.0023134358276267796
CHMP2A	19q13.43	-0.47212755598831513	0.00001119556772260996	0.0023134358276267796
PDRG1	20q11.21	-0.47200584225900655	0.000011262112037342157	0.0023134358276267796
SULT1A4	16p11.2	-0.47000973709834487	0.000012407640415835698	0.002431615616662829
THSD7B	2q22.1	0.46993670886075956	0.00001245154781499329	0.002431615616662829
MRPL40	22q11.21	-0.4699123661148976	0.000012466215878274072	0.002431615616662829
PRICKLE2	3p14.1	0.46979065238558926	0.00001253979891301698	0.002431615616662829
PKLR	1q22	-0.46974196689386577	0.000012569345703900666	0.002431615616662829
MAP3K5	6q23.3	0.46949853943524833	0.000012718058816751107	0.002431615616662829
CERT1	5q13.3	0.46944985394352473	0.000012747998204298789	0.002431615616662829
RAB11FIP2	10q26.11	0.46798928919182053	0.000013677435324711386	0.002582548469947777
SULT1B1	4q13.3	0.4675754625121714	0.000013952072429347574	0.002608060899217942
MCMBP	10q26.11	0.46643135345666986	0.000014738430116927416	0.0026514964934380445
TOMM6	6p21.1	-0.46635832521908477	0.000014790003644813474	0.0026514964934380445
WAC	10p12.1	0.46626095423563796	0.000014859030739816111	0.0026514964934380445
ABRAXAS2	10q26.13	0.4662609542356377	0.000014859030739816233	0.0026514964934380445
CDK5RAP3	17q21.32	-0.46621226874391436	0.000014893657080778617	0.0026514964934380445
KLHL24	3q27.1	0.4658471275559884	0.000015155768456018092	0.002672705469324021
TLCD1	17q11.2	-0.4642405063291138	0.000016361096978671548	0.0028533249050081903
FBXO33	14q21.1	0.4636075949367091	0.000016860055105507662	0.0028533249050081903
NDUFS3	11p11.2	-0.46353456669912346	0.00001691853296958326	0.0028533249050081903
NRIP1	21q11.2-q21.1	0.4634371957156769	0.000016996798177471205	0.0028533249050081903
TSPYL1	6q22.1	0.4633154819863679	0.000017095105240316534	0.0028533249050081903
KLHL15	Xp22.11	0.4632181110029212	0.00001717413297859021	0.0028533249050081903
OSGEP	14q11.2	-0.46297468354430377	0.000017373197624246735	0.0028533249050081903
RUFY4	2q35	-0.4626211733307433	0.0000176661230280116	0.0028533249050081903
CDK5RAP1	20q11.21	-0.4624878286270693	0.0000177778080921124	0.0028533249050081903
FLT3	13q12.2	0.4622444011684516	0.000017983397136099604	0.0028533249050081903
NPFF	12q13.13	-0.46209834469328126	0.000018107813959727413	0.0028533249050081903
GDPD2	Xq13.1	-0.4619522882181111	0.000018233034151127787	0.0028533249050081903
ATE1	10q26.13	0.46190360272638736	0.000018274953568578037	0.0028533249050081903
CPSF4	7q22.1	-0.4618549172346644	0.000018316962959449144	0.0028533249050081903
PILRB	7q22.1	-0.46144109055501464	0.000018677700760144625	0.0028854732256973843
ZRANB1	10q26.13	0.46117332035053543	0.00001891464215618637	0.002898126277258949
C1QTNF7	4p15.32	0.4604299034933713	0.000019587261003445965	0.0029691297720735635
SIRT1	10q21.3	0.4601752677702045	0.00001982273421780929	0.0029691297720735635
MED11	17p13.2	-0.4600048685491724	0.000019981782900960248	0.0029691297720735635
ZGLP1	19p13.2	-0.4599711536791217	0.000020013392782392823	0.0029691297720735635
AURKC	19q13.43	-0.45912852969815005	0.00002081873150256292	0.003052024233104335
MAN1A2	1p12	0.458836416747809	0.00002110490657018984	0.003052024233104335
SMNDC1	10q25.2	0.45876338851022397	0.000021177021651098226	0.003052024233104335
RHOBTB1	10q21.2	0.45871470301850054	0.00002122522603667488	0.003052024233104335
MUC4	3q29	-0.4568437717668972	0.000023157149616819305	0.0032947528650570154
CERS6	2q24.3	0.4567429406037002	0.000023265788166026105	0.0032947528650570154
IGF1	12q23.2	0.45630477117818896	0.000023743429355798188	0.003337112217653651
SLC18A2	10q25.3	0.4559883154819864	0.000024094062595394556	0.0033550753921180736
ITIH4	3p21.1	-0.4558666017526774	0.000024230202639273522	0.0033550753921180736
FIZ1	19q13.42	-0.4554527750730281	0.000024698463059804493	0.003394767426300922
ATP5MC1	17q21.32	-0.45501460564751733	0.000025203455938475084	0.0034388919843643413
KLF9	9q21.12	0.4543086660175268	0.000026037347744859612	0.0035182933667376125
HPX	11p15.4	-0.45406523855890946	0.000026330810295099366	0.0035182933667376125
ITIH1	3p21.1	-0.4540493859071498	0.00002635002788975904	0.0035182933667376125
OSBPL8	12q21.2	0.4536514118792596	0.00002683678273243291	0.0035486613255682883
ZXDA	Xp11.21	0.4535540408958129	0.00002695714482590793	0.0035486613255682883
LINC02897	1q44	-0.452994157740993	0.000027659047218219264	0.003569086103615397
ABCA9	17q24.2	0.4529941577409929	0.00002765904721821938	0.003569086103615397
PDCD4	10q25.2	0.45296981499513134	0.00002768994765962862	0.003569086103615397
TSC22D2	3q25.1	0.45282375851996104	0.00002787602691530776	0.003569086103615397
NDUFS5	1p34.3	-0.4519474196689385	0.00002901719802534159	0.00368954005011132
IFIT5	10q23.31	0.45180136319376846	0.000029211572643046878	0.00368954005011132
ETV3	1q23.1	0.45085199610516064	0.000030504874951678917	0.003822654562666868
MRPL24	1q23.1	-0.45073028237585183	0.00003067448694163752	0.003822654562666868
CCDC167	6p21.2	-0.4501703992210319	0.00003146607635159824	0.0038704939394544817
ZXDB	Xp11.21	0.4501217137293084	0.00003153580173725039	0.0038704939394544817
COPS6	7q22.1	-0.44990262901655304	0.00003185135026517776	0.0038704939394544817
ERAL1	17q11.2	-0.4498782862706915	0.0000318865921294597	0.0038704939394544817
SPDYE3	7q22.1	-0.4492697176241481	0.000032779529258487967	0.003953211228573649
LAS1L	Xq12	-0.4483690360272638	0.00003414388534919788	0.0040913567232856145
GNA13	17q24.1	0.4481012658227847	0.000034559586813882296	0.004111288163694844
COMMD9	11p13	-0.4479795520934763	0.00003475009521552375	0.004111288163694844
TRNAU1AP	1p35.3	-0.4469571567672834	0.000036389396223400796	0.004254683873484158
MCU	10q22.1	0.4469328140214216	0.000036429290285131286	0.004254683873484158
TRIM74	7q11.23	-0.446801648022198	0.000036644952850315594	0.004254683873484158
